AccNum,GeneName,txReads2,txRPKM2,cdReads2,cdRPKM2
NM_022719,ESS2,42.0,5.79740265015,27.0,14.0247139582
NM_006987,RPH3AL,31.0,8.3669589809,18.0,14.1134779706
NM_002204,ITGA3,66.0,9.74348548678,39.0,9.18538775402
NM_001277304,POTEB,0.0,-,0.0,-
NM_018952,HOXB6,8.0,3.54801832834,6.0,6.60719857588
NM_018953,HOXC5,0.0,-,0.0,-
NM_018955,UBB,294.0,177.380757222,214.0,230.533776398
NM_018957,SH3BP1,45.0,11.7200220008,41.0,14.4708943168
NM_018958,NPAP1,0.0,-,0.0,-
NM_000905,NPY,50.0,66.366949981,33.0,83.4327371189
NM_016551,TM7SF3,98.0,16.7728216208,59.0,25.6014480721
NM_199286,DPPA3,0.0,-,0.0,-
NM_020844,TRMT9B,2.0,0.155050029159,0.0,-
NM_001322299,SIDT1,0.0,-,0.0,-
NM_020846,SLAIN2,45.0,5.56462199142,28.0,11.9202036163
NM_001306084,CFAP54,0.0,-,0.0,-
NM_001129895,HGC6.3,0.0,-,0.0,-
NM_012444,SPO11,0.0,-,0.0,-
NM_001113525,ZNF276,68.0,10.9404911484,44.0,17.7266303255
NM_001322290,ZNF396,2.0,0.381673858684,2.0,1.47482111069
NM_001113523,PARP15,6.0,0.883140403707,5.0,1.82452096168
NM_001031617,COX19,21.0,3.19147549285,1.0,2.72274666589
NM_001003828,PARVB,39.0,15.4361468326,28.0,17.4310515193
NM_022579,CSHL1,0.0,-,0.0,-
NM_001199877,SERF2,167.0,36.200858339,44.0,181.697960837
NM_001143968,ARL5C,0.0,-,0.0,-
NM_001271909,SPATA33,15.0,7.20261472662,8.0,18.0196324797
NM_022573,TSPY2,0.0,-,0.0,-
NM_001143967,EFCAB8,0.0,-,0.0,-
NM_022571,GPR135,2.0,0.816823999766,2.0,1.00109069332
NM_001330499,WBP2,91.0,30.7320288145,41.0,46.8136765457
NM_016626,MEX3C,74.0,13.2797991657,42.0,15.7671784197
NM_022574,GIGYF1,431.0,49.0532140481,320.0,76.5312576357
NM_015711,BICRA,15.0,1.94278578094,14.0,2.22215198741
NM_016558,SCAND1,47.0,25.4818107002,39.0,53.6834884291
NM_012449,STEAP1,2.0,1.1322312868,1.0,0.728735137046
NM_001304484,FGD4,50.0,4.38375701691,14.0,8.2004237644
NM_144999,LRRC45,47.0,12.9343067271,36.0,13.2931715014
NM_015713,RRM2B,36.0,5.42561926852,11.0,7.74281083111
NM_194458,UBE2J2,99.0,30.8027099786,35.0,41.6920583214
NM_174937,TCERG1L,0.0,-,0.0,-
NM_001008211,OPTN,29.0,5.99276768246,21.0,9.00202228116
NM_001330493,OSCP1,12.0,5.87209880016,10.0,6.35307555374
NM_004168,SDHA,59.0,15.7187385475,50.0,18.6293192929
NM_001409,MEGF6,25.0,2.49801666819,15.0,2.41021348828
NM_138294,PATE1,0.0,-,0.0,-
NM_001198815,MUC22,0.0,-,0.0,-
NM_001198812,MSANTD3-TMEFF1,0.0,-,0.0,-
NM_138290,RUNDC3B,0.0,-,0.0,-
NM_014109,ATAD2,283.0,37.8067369985,241.0,42.9277908911
NM_004160,PYY,0.0,-,0.0,-
NM_004161,RAB1A,127.0,35.7171205649,53.0,63.7466367455
NM_004162,RAB5A,35.0,10.2626605099,10.0,11.4708308609
NM_004163,RAB27B,40.0,4.24566522797,11.0,12.4450658107
NM_004164,RBP2,0.0,-,0.0,-
NM_001355236,C3orf49,0.0,-,0.0,-
