AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001145369	118.0	0	1.0	118.0	111.0	5.0	2.0
NM_052972	0	0	0	0	0	0	0
NM_018135	317.0	0	2.0	317.0	303.0	3.0	11.0
NM_001253790	0	0	0	0	0	0	0
NM_001034077	0	0	0	0	0	0	0
NM_025225	13.0	0	1.0	13.0	9.0	3.0	1.0
NM_152259	201.0	0	1.0	201.0	200.0	0	1.0
NM_012279	159.0	0	2.0	159.0	143.0	13.0	3.0
NM_024114	0	0	0	0	0	0	0
NM_025265	48.0	0	1.0	48.0	43.0	5.0	0
NM_024814	123.0	0	0	123.0	102.0	21.0	0
NM_012384	214.0	0	6.0	214.0	193.0	16.0	5.0
NM_002153	0	0	1.0	0	0	0	0
NM_001040451	109.0	0	1.0	109.0	102.0	5.0	2.0
NM_024913	27.0	0	2.0	27.0	21.0	6.0	0
NM_003278	1.0	0	0	1.0	1.0	0	0
NM_001267598	31.0	0	16.0	31.0	27.0	3.0	1.0
NM_014801	39.0	0	61.0	39.0	16.0	23.0	0
NM_006272	6.0	0	0	6.0	1.0	5.0	0
NM_014462	99.0	0	0	99.0	34.0	63.0	2.0
NM_005310	0	0	0	0	0	0	0
NM_004779	155.0	0	1.0	155.0	139.0	15.0	1.0
NM_001669	21.0	0	1.0	21.0	19.0	1.0	1.0
NM_001349660	88.0	0	1.0	88.0	41.0	47.0	0
NM_001199479	77.0	0	4.0	77.0	63.0	14.0	0
NM_007344	87.0	0	1.0	87.0	84.0	1.0	2.0
NM_020124	0	0	0	0	0	0	0
NM_007102	0	0	0	0	0	0	0
NM_000397	0	0	0	0	0	0	0
NM_001005177	0	0	0	0	0	0	0
NM_001194	10.0	0	0	10.0	10.0	0	0
NM_002835	228.0	0	5.0	228.0	216.0	6.0	6.0
NM_024589	56.0	0	1.0	56.0	29.0	26.0	1.0
NM_001135691	69.0	0	2.0	69.0	60.0	9.0	0
NM_001257096	0	0	0	0	0	0	0
NM_170711	1034.0	0	7.0	1034.0	685.0	231.0	118.0
NM_003169	1154.0	0	1.0	1154.0	945.0	207.0	2.0
NM_199286	0	0	0	0	0	0	0
NM_182643	278.0	0	80.0	278.0	276.0	0	2.0
NM_020309	15.0	0	0	15.0	12.0	3.0	0
NM_001293172	0	0	0	0	0	0	0
NM_000453	0	0	0	0	0	0	0
NM_153213	81.0	0	6.0	81.0	79.0	2.0	0
NM_001010980	0	0	0	0	0	0	0
NM_001321685	15.0	0	0	15.0	10.0	5.0	0
NM_018348	69.0	0	0	69.0	42.0	27.0	0
NM_014606	59.0	0	0	59.0	47.0	12.0	0
NM_001256819	0	0	0	0	0	0	0
NM_000118	607.0	0	1.0	607.0	396.0	147.0	64.0
NM_001330989	67.0	0	1.0	67.0	57.0	9.0	1.0
NM_001277093	12.0	0	14.0	12.0	5.0	5.0	2.0
NM_001319050	170.0	0	1.0	170.0	129.0	39.0	2.0
NM_024548	222.0	0	0	222.0	206.0	15.0	1.0
NM_000667	0	0	0	0	0	0	0
NM_001281293	369.0	0	0	369.0	351.0	18.0	0
NM_001330348	57.0	0	4.0	57.0	45.0	12.0	0
NM_057090	27.0	0	1.0	27.0	7.0	16.0	4.0
NM_024616	28.0	0	1.0	28.0	25.0	1.0	2.0
NM_001085377	70.0	0	19.0	70.0	64.0	3.0	3.0
NM_004058	4.0	0	0	4.0	4.0	0	0
NM_198949	391.0	0	3.0	391.0	381.0	7.0	3.0
NM_152621	20.0	0	0	20.0	12.0	8.0	0
NM_001014980	4.0	0	0	4.0	4.0	0	0
NM_002242	0	0	0	0	0	0	0
NM_152336	1.0	0	4.0	1.0	1.0	0	0
