AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_018004	3.0	0	0	3.0	2.0	1.0	0
NM_031490	364.0	0	10.0	364.0	248.0	13.0	103.0
NM_001199860	73.0	0	7.0	73.0	25.0	3.0	45.0
NM_001256134	0	0	1.0	0	0	0	0
NM_213606	1.0	0	0	1.0	1.0	0	0
NM_003931	76.0	0	13.0	76.0	36.0	34.0	6.0
NM_003857	1.0	0	0	1.0	1.0	0	0
NM_014264	160.0	0	7.0	160.0	114.0	32.0	14.0
NM_181599	0	0	0	0	0	0	0
NM_018665	13.0	0	8.0	13.0	12.0	1.0	0
NM_004577	324.0	0	120.0	324.0	113.0	145.0	66.0
NM_148842	376.0	0	41.0	376.0	314.0	61.0	1.0
NM_001288565	735.0	0	25.0	735.0	358.0	50.0	327.0
NM_005092	0	0	0	0	0	0	0
NM_001007530	0	0	0	0	0	0	0
NM_007128	0	0	0	0	0	0	0
NM_002559	0	0	0	0	0	0	0
NM_207123	77.0	0	15.0	77.0	40.0	16.0	21.0
NM_017780	750.0	0	111.0	750.0	667.0	51.0	32.0
NM_001304958	58.0	0	14.0	58.0	29.0	22.0	7.0
NM_001203	15.0	0	13.0	15.0	8.0	1.0	6.0
NM_006495	0	0	1.0	0	0	0	0
NM_138433	0	0	0	0	0	0	0
NM_003151	0	0	1.0	0	0	0	0
NM_203374	90.0	0	0	90.0	49.0	0	41.0
NM_001823	1278.0	0	17.0	1278.0	1103.0	58.0	117.0
NM_001242844	50.0	0	28.0	50.0	25.0	18.0	7.0
NM_014819	275.0	0	14.0	275.0	156.0	15.0	104.0
NM_018425	412.0	0	11.0	412.0	175.0	14.0	223.0
NM_001190986	0	0	0	0	0	0	0
NM_001291535	0	0	0	0	0	0	0
NM_032361	71.0	0	1.0	71.0	62.0	2.0	7.0
NM_201553	0	0	0	0	0	0	0
NM_002276	0	0	0	0	0	0	0
NM_001144927	338.0	0	11.0	338.0	100.0	23.0	215.0
NM_014278	81.0	0	10.0	81.0	54.0	16.0	11.0
NM_001184889	283.0	0	20.0	283.0	148.0	80.0	55.0
NM_021005	35.0	0	22.0	35.0	24.0	5.0	6.0
NM_001002036	0	0	0	0	0	0	0
NM_002168	613.0	0	4.0	613.0	492.0	54.0	67.0
NM_001098817	17.0	0	16.0	17.0	10.0	1.0	6.0
NM_001288780	0	0	3.0	0	0	0	0
NM_001258329	114.0	0	28.0	114.0	90.0	1.0	23.0
NM_001142883	159.0	0	50.0	159.0	72.0	37.0	50.0
NM_000593	169.0	0	0	169.0	153.0	2.0	14.0
NM_001198784	0	0	0	0	0	0	0
NM_002147	8.0	0	0	8.0	4.0	0	4.0
NM_182492	42.0	0	6.0	42.0	23.0	11.0	8.0
NM_001005183	0	0	0	0	0	0	0
NM_174983	591.0	0	39.0	591.0	437.0	55.0	99.0
NM_052959	7.0	0	1.0	7.0	6.0	0	1.0
NM_003320	188.0	0	29.0	188.0	52.0	0	136.0
NM_144607	82.0	0	5.0	82.0	29.0	9.0	44.0
NM_000883	218.0	0	28.0	218.0	155.0	8.0	55.0
NM_001004725	0	0	0	0	0	0	0
NM_001319086	249.0	0	319.0	249.0	227.0	12.0	10.0
NM_003462	0	0	1.0	0	0	0	0
NM_001329964	0	0	2.0	0	0	0	0
NM_001214909	145.0	0	6.0	145.0	105.0	15.0	25.0
NM_001080493	33.0	0	7.0	33.0	23.0	3.0	7.0
NM_001204268	0	0	1.0	0	0	0	0
NM_002739	1.0	0	1.0	1.0	1.0	0	0
NM_021156	230.0	0	5.0	230.0	82.0	22.0	126.0
NM_032656	606.0	0	39.0	606.0	465.0	10.0	131.0
NM_001289933	0	0	0	0	0	0	0
NM_016231	64.0	0	35.0	64.0	53.0	3.0	8.0
NM_014518	1.0	0	0	1.0	1.0	0	0
NM_001352289	430.0	0	38.0	430.0	238.0	103.0	89.0
NM_144644	0	0	0	0	0	0	0
NM_030934	71.0	0	18.0	71.0	49.0	14.0	8.0
NM_006042	58.0	0	18.0	58.0	19.0	37.0	2.0
NM_001100878	114.0	0	2.0	114.0	88.0	2.0	24.0
NM_001198844	12.0	0	44.0	12.0	0	0	12.0
NM_005194	126.0	0	0	126.0	71.0	41.0	14.0
NM_001351100	615.0	0	29.0	615.0	549.0	59.0	7.0
NM_080746	4.0	0	0	4.0	4.0	0	0
NM_001316335	6.0	0	0	6.0	0	0	6.0
NM_001294335	174.0	0	22.0	174.0	154.0	10.0	10.0
NM_032899	0	0	0	0	0	0	0
NM_001135789	0	0	0	0	0	0	0
NM_005626	481.0	0	100.0	481.0	330.0	55.0	96.0
NM_030821	52.0	0	1.0	52.0	16.0	21.0	15.0
NM_001013736	0	0	0	0	0	0	0
NM_015205	171.0	0	32.0	171.0	94.0	7.0	70.0
NM_020823	302.0	0	212.0	302.0	175.0	0	127.0
NM_194283	59.0	0	32.0	59.0	28.0	22.0	9.0
NM_019098	0	0	43.0	0	0	0	0
NM_003530	2724.0	0	82.0	2724.0	2517.0	145.0	62.0
NM_001290062	40.0	0	2.0	40.0	23.0	12.0	5.0
NM_006045	70.0	0	10.0	70.0	46.0	1.0	23.0
NM_003802	2.0	0	0	2.0	2.0	0	0
NM_014646	181.0	0	22.0	181.0	91.0	1.0	89.0
NM_012459	118.0	0	11.0	118.0	83.0	0	35.0
