AccNum,cdReads0_RNA_2,cdReads1_RNA_2,cdReads2_RNA_2,cdReads3_RNA_2,cdReads4_RNA_2
NM_002947,150,214,164,89,60
NM_001184783,80,115,98,56,44
NM_001292018,108,132,102,94,67
NM_031420,370,374,367,213,206
NM_138809,11,9,6,4,7
NM_177983,1476,1664,1541,953,641
NM_177980,5,5,8,5,1
NM_001172509,175,180,166,100,110
NM_001080543,735,730,853,559,499
NM_003255,536,569,569,346,281
NM_139015,65,105,80,53,34
NM_001320410,15,10,8,11,4
NM_001242397,36,35,29,30,19
NM_001320417,46,56,42,28,23
NM_001324027,22,26,25,12,11
NM_001102450,6,14,4,1,3
NM_001320415,29,45,26,16,16
NM_001123355,234,302,277,158,162
NM_021821,228,259,208,159,149
NM_003249,1447,1571,1489,984,794
NM_021823,42,36,33,26,15
NM_021824,182,207,147,109,78
NM_001321532,38,49,38,23,25
NM_003549,66,60,46,21,23
NM_078469,312,497,405,289,251
NM_145858,28,40,27,17,17
NM_003546,768,1062,1067,563,404
NM_003545,4690,6883,5914,3250,1909
NM_003544,3191,5138,4458,2445,1634
NM_003543,3691,5138,4475,2505,1652
NM_003542,5682,8119,9078,5230,3227
NM_001145210,7,5,5,2,2
NM_003540,3,6,5,7,3
NM_024613,42,38,34,25,18
NM_022304,3,9,6,6,3
NM_001260491,47,75,81,50,56
NM_002499,146,182,114,81,79
NM_001318872,77,78,57,39,35
NM_014748,875,898,814,505,439
NM_001286491,8,3,5,2,4
NM_014213,18,17,21,11,7
NM_014212,34,28,22,17,9
NM_014747,300,264,242,168,144
NM_014216,194,166,187,122,105
NM_014743,122,176,94,73,71
NM_014742,338,336,313,216,210
NM_005236,92,98,84,62,66
NM_005234,1595,1265,1118,621,529
NM_005233,279,423,393,247,203
NM_152464,107,116,127,91,72
NM_005231,370,510,507,281,257
NM_005230,84,108,115,61,68
NM_032194,57,87,63,58,38
NM_018846,55,108,70,50,51
NM_005238,107,141,146,103,91
NM_001319652,82,136,76,68,72
NM_001319658,21,18,23,12,6
NM_001314026,13,27,27,14,7
NM_001330393,223,246,188,111,106
NM_052943,198,135,113,52,44
NM_052945,9,13,12,9,8
NM_052947,164,276,240,210,150
NM_001320875,138,234,136,122,109
NM_032830,348,398,374,258,163
NM_153711,28,33,29,16,14
NM_015175,237,224,218,146,192
NM_001204410,695,777,752,530,438
NM_032772,57,47,50,28,26
NM_032773,181,187,163,133,143
NM_015995,243,197,167,83,115
NM_032776,267,600,425,354,340
NM_032777,187,162,166,107,88
NM_001145312,122,132,124,88,81
NM_001679,162,215,143,87,59
NM_001080826,108,86,88,54,39
NM_001318063,14,9,10,9,7
NM_015042,551,593,506,315,254
NM_001040177,38,41,40,25,31
NM_001352117,120,176,152,106,79
NM_018195,45,77,43,37,41
NM_212482,14086,16632,16570,10809,8556
NM_001098615,49,62,33,28,33
NM_022753,56,69,57,43,33
NM_022750,181,178,209,144,169
NM_022756,154,192,184,118,102
NM_153713,307,282,320,203,161
NM_001321478,48,78,92,70,52
NM_001033723,76,74,63,43,46
NM_015168,441,462,619,368,338
NM_015169,172,149,127,70,68
NM_018918,3,1,1,1,1
NM_018192,49,57,60,36,45
NM_001220488,600,728,620,401,320
NM_018914,3,5,3,2,3
NM_001306147,650,910,773,562,512
NM_018911,6,3,7,1,5
NM_015164,595,593,637,429,357
NM_018913,31,38,33,15,15
NM_020883,8,5,9,6,9
NM_001282866,60,85,83,47,31
NM_020884,1,4,2,3,2
NM_001329791,82,92,80,60,47
NM_014616,250,330,167,130,143
NM_001289936,599,537,544,367,312
NM_001282860,267,305,312,235,226
NM_019063,498,634,356,202,282
NM_001113567,29,32,34,27,33
NM_019066,112,102,86,42,32
NM_019065,5,8,11,12,3
NM_019069,11,14,12,6,8
NM_001310338,79,131,102,74,83
NM_014612,901,810,775,508,569
NM_001258394,253,272,327,208,174
NM_025099,92,93,89,58,51
NM_001258397,12,12,10,9,5
NM_001258390,6,9,2,2,3
NM_005093,90,79,105,58,48
NM_001304445,59,98,68,40,61
NM_001178138,167,206,190,125,107
NM_001290326,97,120,79,63,49
NM_001278284,388,513,474,352,334
NM_001033081,60,61,40,26,28
NM_003350,37,51,33,20,19
NM_001281513,332,436,366,259,203
NM_004126,258,288,198,187,114
NM_001329662,6,8,6,10,6
NM_001282755,205,197,156,122,99
NM_001353645,7,9,14,6,3
NM_001282759,92,113,123,71,61
NM_153717,152,153,126,100,112
NM_000317,40,53,54,35,31
NM_001304999,87,54,62,53,43
NM_000311,163,204,167,84,68
NM_000310,516,576,482,325,271
NM_030630,5,4,6,8,3
NM_001258026,611,676,560,391,282
NM_030636,11,17,5,8,4
NM_001350517,88,169,117,96,86
NM_001320252,14,21,21,22,15
NM_021221,9,13,16,4,10
NM_021224,323,331,280,194,179
NM_001033088,632,693,575,371,331
NM_002632,611,568,549,285,269
NM_138782,40,60,43,29,33
NM_138783,119,165,154,88,58
NM_138785,94,121,106,62,63
NM_001011724,14,15,11,11,3
NM_001270879,41,44,40,31,16
NM_003353,5,9,4,2,3
NM_017489,28,22,24,12,17
NM_001242597,397,379,361,207,182
NM_001193380,4,1,4,1,7
NM_001321784,298,499,273,214,221
NM_001286184,114,130,130,60,73
NM_001303411,82,101,84,60,45
NM_003724,189,167,141,90,95
NM_178019,4,4,2,3,4
NM_006275,300,494,438,261,227
NM_005576,776,681,713,406,338
NM_021047,10,13,10,6,7
NM_153498,45,38,67,40,35
NM_001330213,127,149,137,95,74
NM_173515,173,196,175,125,101
NM_173510,138,123,105,68,75
NM_001145001,405,356,370,219,199
NM_004781,95,113,77,50,65
NM_004782,128,135,140,77,72
NM_001193388,84,71,57,47,34
NM_173475,102,112,73,57,58
NM_004786,243,344,247,162,133
NM_004788,358,461,345,245,242
NM_004789,351,240,209,103,108
NM_001001933,87,122,107,58,58
NM_001330372,232,221,209,137,107
NM_001317968,72,69,72,52,48
NM_001317960,768,1072,710,501,426
NM_001317963,123,178,146,107,97
NM_001304288,645,691,608,409,310
NM_001282805,663,886,620,516,493
NM_003378,94,91,106,83,81
NM_003370,681,732,717,412,347
NM_006253,107,104,137,92,74
NM_139321,586,626,519,338,312
NM_006256,178,266,225,179,154
NM_003377,173,139,159,86,77
NM_006785,123,158,98,61,89
NM_006782,152,146,138,87,75
NM_001145026,20,28,15,19,11
NM_001351643,553,617,510,382,329
NM_006788,231,310,262,186,158
NM_006789,7,8,9,6,5
NM_004874,117,127,112,69,54
NM_014298,1024,1008,920,588,510
NM_001320099,41,33,41,25,20
NM_004870,271,282,299,176,146
NM_004446,329,703,447,425,293
NM_002738,2,3,1,3,3
NM_001256024,159,104,109,62,50
NM_020198,238,356,259,212,196
NM_001330216,812,748,783,435,375
NM_000179,1692,2234,1550,1048,773
NM_001964,421,146,226,162,555
NM_001199671,608,774,563,445,359
NM_004819,777,872,916,579,457
NM_198149,48,50,42,23,18
NM_144666,94,57,76,52,77
NM_000170,31,34,33,19,16
NM_144660,95,106,59,50,56
NM_018994,171,162,117,72,71
NM_015475,163,216,197,142,94
NM_006435,386,409,360,190,175
NM_001317134,91,82,70,50,43
NM_003157,180,242,237,167,141
NM_001160213,1,3,2,2,2
NM_006432,179,192,219,119,83
NM_001160210,931,1202,1009,678,640
NM_020319,65,77,52,36,37
NM_001197293,1718,1879,1903,1192,895
NM_001197294,5,5,9,2,1
NM_020310,40,37,50,18,14
NM_020313,139,188,147,113,85
NM_001206710,82,87,99,56,69
NM_020314,9,6,10,1,5
NM_004199,239,284,218,143,88
NM_032446,994,1416,972,575,707
NM_001330219,5,6,8,1,6
NM_052893,109,118,85,60,49
NM_001105539,200,197,123,76,95
NM_024032,129,144,144,71,67
NM_001271593,207,274,221,149,137
NM_005984,355,352,338,242,184
NM_014470,5,4,3,9,4
NM_145265,69,73,61,47,30
NM_052897,37,44,22,21,40
NM_022782,99,189,101,106,80
NM_002013,104,177,151,87,73
NM_001040446,141,141,100,95,103
NM_001040445,203,229,239,135,126
NM_001040441,54,56,40,40,23
NM_031286,280,317,269,171,131
NM_201433,2,4,5,2,2
NM_013245,544,585,568,372,300
NM_013247,740,670,655,390,362
NM_013248,154,135,85,23,40
NM_001039661,18,19,9,4,7
NM_005094,374,361,337,214,197
NM_006549,78,94,76,55,47
NM_014028,86,90,89,60,68
NM_001193511,311,251,283,204,149
NM_005760,177,372,266,231,202
NM_018216,255,246,224,132,120
NM_015375,195,232,190,139,123
NM_018214,197,209,182,127,112
NM_018211,183,232,186,119,129
NM_018210,161,201,214,147,140
NM_001271938,1243,894,776,564,529
NM_005762,5780,5903,5168,3544,3127
NM_018219,6,3,7,7,2
NM_018218,355,389,240,169,176
NM_001166118,80,93,69,52,44
NM_002208,48,57,49,35,20
NM_002207,405,421,271,195,237
NM_016323,244,370,240,146,151
NM_001282232,166,197,170,122,100
NM_001134875,479,575,590,353,278
NM_152355,7,12,12,11,24
NM_001282236,17,16,8,9,6
