LIST_1	LIST_2	LIST_3	LIST_4	LIST_5	LIST_6
ACTG1	CD59	SZT2	TPM4	TOP3B	GPN2
UQCRH	RPL10	MGAT2	MRM2	RAB11FIP3	ZBTB9
NEURL4	TMED9	EVI5	SMARCD1	GRIN3A	SLC15A4
THOC1	ETHE1	PLEKHG3	YKT6	RC3H2	FMR1
PRPS2	TPGS2	PTPRO	NDUFAB1	LRP3	NPHP4
AATF	TBC1D5	RUSC2	MELTF	GNAZ	RAD23A
FAR2	IAH1	IQCK	PDK1	CELSR3	JADE1
GBP2	PDCD5	ALKBH3	MRPL10	FBXW7	GCLM
SAMHD1	ATG12	ADGRG6	ATL3	CCDC88C	GNAI1
C10orf76	SARS	CDK12	GLI4	USP31	TAPBP
ORC4	MRFAP1L1	ARHGEF40	PPP1R13L	TMC6	KCNJ6
MAGEA3	STAM	FYCO1	MID1IP1	NDST1	PHTF1
TFPI2	RFC4	BAZ1B	SNX6	PCF11	TTLL1
RNF31	HNRNPA2B1	FBRS	TBL2	TULP4	ASXL1
HMGCS1	H2AFY	PRPF39	LDLRAD3	SH3RF3	KIN
CAMK2G	FNTA	THAP7	DDR2	LATS2	LETM1
ARF4	FAM162A	RNF24	ILK	SLC43A1	FLNA
VCAM1	FANCL	NACC1	UCHL1	CUEDC1	TRIB2
PCCA	HMGA2	LRRFIP2	UQCR11	TRAK2	TCEA2
TKFC	SSNA1	PRPF8	GALE	PACS2	SUGP2
TCERG1	YIF1B	POGLUT1	G6PD	HOMER2	PKMYT1
WDR3	XBP1	CLDN12	GCN1	FBXO41	KYAT3
ZNF512	PSMG3	WDR45B	SPAG7	SHANK3	GMCL1
XPO5	CDC40	RBM6	NDUFA10	AZIN1	RDH10
SUN2	CNOT8	CEP120	NDUFB1	MED13	PARP16
TRIM25	ANKRD46	RECQL4	GATM	FAM20C	AP1B1
ENOX2	POLR2H	KDM6A	ZC3HAV1	SETD1A	GUK1
PEX2	CDKN2A	MAP4K5	ADI1	ZDHHC6	CSRNP1
PXN	RFC5	GLT8D1	PNPLA2	BRD4	SRPK2
WDR33	EPB41L2	TNC	TIGAR	GPBP1L1	AP1M1
SNRPA	THRAP3	CIZ1	LMO4	SETD5	NYNRIN
MCCC1	TIMP1	WDR13	HAGH	MTCL1	MTOR
C1orf43	ELP5	SRGAP3	FDPS	SIPA1L2	UPF1
RPLP2	TK1	AXL	CLN5	STARD9	MEF2D
DRG2	TMEM205	PTPN3	ANKRD13B	SHD	TLN2
CD44	PRDX2	LTBP2	AKR1B1	TWNK	PLAGL2
HPS4	GOLPH3L	TCF20	MRPL28	SEMA6B	TONSL
PDIA4	SERPINF1	SPATA2	RAB21	SPTBN2	TRIM9
ATP9B	DNAJC18	SPATA20	CWC27	EP300	BZW2
NELFB	RCC2	PDGFC	SERP1	CRAMP1	ATG2A
ZNF207	PIP4P2	HIF1A	VSIG10L	PREX1	ZDHHC5
CHRNA1	ZSCAN2	ZNF142	ACAA1	PHF2	PHF8
PPP1R3C	NUDT21	N4BP1	COL18A1	ADGRL1	FASTK
AMDHD2	IRAK1BP1	LRRC17	SMG9	SOBP	MTBP
AP3B1	NAA40	FABP4	NIP7	TRAF3	RERE
ACTR10	TARSL2	RREB1	COL5A3	ARHGEF11	SLC35G1
NAP1L4	COPE	STARD7	PLA2G3	DOCK5	USF2
HNRNPM	HDGFL2	TRIM41	KANK2	SCN8A	LTBP1
HNRNPU	OLFM2	SECISBP2	ADORA1	GLI2	MCM2
RPUSD4	ROBO3	PCIF1	VPS25	NIPA2	E2F2
GLUD1	ANAPC16	FGD1	FAHD1	MYO9B	DIAPH3
HSPA5	PDCD4	PER2	RBFA	TNRC6A	FAM171A2
PJA2	EMC7	DIP2C	SET	AGAP1	MAN1C1
RAB3GAP2	UBALD2	HOXB3	CD55	KMT2B	PSMG4
ZNF576	NDUFA4	SNX8	UNC45A		C12orf4
TNFRSF1B	EIF1AD	ADIPOR2	C10orf88		ELF1
RGL2	CTSV	MCC	PPT2		CBLN2
NSA2	BCL2L12	NRXN2	CBX6		BRAP
MBD2	STAT5B	PAG1	COPG1		TRIM2
SPTY2D1	ZFPM1	GLIS3	RAB11FIP5		TMEM246
IFT52	NUCB1	TAF1C	MRPL39		FBXW9
GLG1	LMNB1	BRD2	CCDC107		CERS5
MSI2	LMO2	ZSCAN5A	WARS2		S100A6
LPP	TAF15	PLEKHG4	BARD1		MSH3
KDM4A	EIF3G	ZNF696	SNRNP27		ARHGEF16
DMTF1	ZNF330	KDM2B	KDELR2		WDTC1
XRCC5	PIGO	IDS	KDELR3		NOP53
GTF3C3	NTPCR	SCMH1	FBXO3		POLR3D
ALDH7A1	MTCH2	CDH11	TMED1		SSFA2
STT3A	CD58	RNF8	PEX14		HINT1
AEBP2	SMIM10L1	WWC2	CORO1B		DDX6
CDK5	NUP85	TAF1	RALY		ADORA2B
PCBP1	PQLC2	ZBTB46	NIPA1		C1orf109
PBX3	STIP1	NCOA6	FDFT1		CNIH1
DAGLB	COTL1	MYC	PEPD		NEDD4
ELAVL2	ATP6AP1	PTGES	C15orf40		H3F3C
ATP10D	SYPL2	SEPHS1	CDK4		AFTPH
ERAP1	METTL3	EPHB4	TYMS		SEC16A
DIAPH1	TFRC	EIF5	TUBG1		PPP1R21
PSMA7	SOD2	GRK2	RCC1L		SRSF2
ARAP1	PMPCA	MGAT4B	TRADD		YEATS4
RNF220	ZMYM3	FBXO18	MAP1LC3A		DIS3L
FBXW2	NUB1	GPATCH8	PGAM5		LIMD1
RPS6KC1	ASF1B	TBC1D8	TAX1BP3		FUZ
EFTUD2	FKBP10	EEF2K	UBXN4		MRPL45
EIF2D	ENSA	ACACB	WDR25		MOCS1
SEC23B	EZR	POLG	RAB35		LAMTOR3
DVL2	ANXA7	SMG5	NUP214		CIPC
COPS8	IDH3B	SMG8	ALKBH7		MOB1A
WDR59	GMFG	ACHE	CHCHD5		DGCR2
YY1AP1	HACL1	DLK2	PDAP1		TUSC3
PARP1	ATP6V1F	TMEM19	C19orf66		C20orf96
SPATA2L	BUD31	DLL1	TLDC1		SNAPIN
ARNT	ZNF16	KRI1	HSPB11		NSD2
LPIN2	COQ5	ALG9	FAAP20		SMG7
SAFB2	HLA-E	CABIN1	FPGS		CCNB2
MRPL40	ANP32A	C2CD5	SLC30A7		KCNG1
HUWE1	ELAVL1	NFASC	GATAD1		GATB
ATP1A3	PYM1	PDE4A	SLC39A7		SERTAD2
BTF3	CHCHD6	RRP1B	HSPBP1		MAP2K4
PSMB7	SIL1	MOCS3	FKBP9		MECP2
NGDN	COQ9	SIPA1L1	HSD3B7		CCDC14
GNPDA2	PSMB3	TRRAP	B4GALT5		ACTN1
SRRM1	PPP1R11	MTSS1	QPCTL		BLCAP
BUB1B	POLDIP3	ZNF45	EARS2		GLT8D2
DYM	RXRB	ZNF74	MDFI		CYHR1
MRPL46	CASP7	KIAA0556	TMEM219		SLC7A5
FIP1L1	GPS2	RANBP1	SUMF1		DCHS1
SNX27	SUMF2	ZNF232	PREB		ZPR1
GFM1	FUOM	RARG	SLC25A24		LSM3
PRPF4	COPS9	RMND5B	LTBR		DHX37
HARS2	MPP2	EYA1	LY6E		BRWD1
BGN	HAAO	ELK1	FTSJ1		SARAF
GOLGA2	LSM14B	ZNF445	RGS17		ABHD10
SUMO2	MED27	TMEM9B	MTERF4		IPO11
GPATCH2L	DCTN4	AP5B1	STK17A		XPR1
RPN2	IDH2	NAV3	MRPL37		IPPK
FRG1	PLPBP	PPM1B	BVES		KRIT1
OLA1	TP53	SAMD1	BCKDHA		KANSL1
SUN1	SSBP1	USP42	P4HB		DPP9
TIA1	MRPS18A	TTLL5	FUBP3		CCDC134
STAT1	SYNCRIP	ADAMTS17	PM20D2		RAB4A
GRK5	PTPN18	PCGF3	TXNDC15		CHPF
FYTTD1	TP53BP1	ARHGAP42	CSNK1A1		CSMD1
RNASEH1	MED10	UHRF1BP1	EIF3I		HLX
PTDSS1	ARHGEF9	KDM5A	EIF3F		GTF3C2
EPHX1	COMMD1	DSE	CFD		SLC16A2
EPS15L1	MRI1	MAPKBP1	ING5		AKAP1
FBXO9	HARS	PPP2R3A	MFAP2		KIF4B
MED31	RPA1	PALB2	SLC35A2		CDC27
MRPS16	CLTB	CHST15	CHKA		BAZ2A
CCNT1	CLTA	ERN1	BID		U2AF2
DDX59	CHCHD2	IP6K3	OTUB1		TIMELESS
FBXW8	MTCH1	IFNGR2	ERCC1		B4GAT1
DNAJA1	GAMT	UBN2	ASS1		SCD5
HNRNPL	IFI35	SPTBN1	TGFB3		DNASE1L1
PRMT1	DCAF7	GCLC	LAMTOR1		MBD4
DHX57	RAN	FAM160B2	METTL1		WSB2
ARSB	SNX4	WDR81	CDH15		NARFL
GPRC5A	TUBB3	NEK7	TSR3		NDN
TAF1A	METTL26	JUND	SMYD5		CSK
THADA	MXD3	KIFC3	EMC8		FAF1
NDRG2	ZC4H2	VPS13B	AKR1A1		ABCF1
TMCO6	HRC	CASZ1	MRPL27		ERLEC1
CCDC32	RCCD1	MORC4	LOXL4		CYB561D2
ZSCAN21	FXYD5	ARHGEF25	TMED3		STK38
ZNF548	MRPS14	AMZ2	ZMYND19		C1orf174
SEL1L	COQ6	MICAL3	C16orf45		FAM53B
FAM199X	C17orf49	DEPDC1B	SLC4A1AP		ERH
DNAJC14	FARSA	CHPF2	ATG101		EIF3D
LZIC	POLE4	EGLN2	MIIP		EIF3A
C16orf72	GDI1	HTRA3	NPLOC4		MECR
GIGYF2	CNDP2	SLC19A2	POLR2C		APEX2
MSN	ACADS	PHLPP1	ALDH1A2		LMF1
CALCRL	AIFM1	ATG4D	CPNE1		PLBD1
OLFML2A	MESD	CCNY	TPD52L2		MFSD14A
E2F3	DBNDD1	ADAM23	AMFR		WDR7
GDI2	LSP1	VAV2	IMP4		CDK14
RP2	SNRPF	CYP1B1	DMAC2		LIG3
TRMT1L	APOL2	PLCB4	DCP2		DHPS
DDX49	ABCD3	IVNS1ABP	MDC1		DIP2A
WDR1	SLFN11	NIPBL	CCT4		CHUK
SNX30	MCUB	ZHX3	SRPX		UTP18
HNRNPK	PEX19	C12orf45	CCDC51		ZFPM2
HMCES	FAM89B	PIEZO1	DDI2		GLUD2
SNX1	FAM118B	KSR1	UQCC2		NBN
RAP1GAP2	RNASEH2C	AFF3	ARHGDIA		PPP2CB
UBA2	NIPSNAP1	ZNF608	DNAJB2		ETV6
PEX3	PECR	STUB1	PSMB2		GPR162
CNTNAP1	HDGF	IFRD1	PSMB4		ZNF446
UBAP2	CERS2	STIM1	GTF2B		RMND1
EXOSC9	CHP1	CELSR1	FHOD1		PAK1IP1
DDX54	SRP19	TBX2	PEX6		SELENOS
H2AFV	ISOC1	LHFPL4	CRELD1		CTNS
SNX9	FHL1	TACC1	WDR34		NCK2
SEPSECS	RPS5	MYLK	CDC45		POMT2
SVBP	COX8A	SHROOM3	CYP20A1		SRRM2
HINT2	CHRND	CRNKL1	TMEM87B		THAP11
CS	SH3GL1	BRD9	DLG3		MAPK8IP1
RPL7A	FAM50A	FAM91A1	NSMCE4A		TRIM46
FOCAD	SNIP1	NACC2	C14orf119		PAGR1
DNMT3A	NUDT1	ZNFX1	SEMA4F		ZNF211
KIAA1191	STAT3	ASAP1	KLHL21		TUBB2B
TBC1D24	TSPAN5	CLIP1	CFAP20		AFAP1
MRPL15	THYN1	BLOC1S2	LGALS1		ZNF318
ACADVL	PSMD14	EFCAB14	FBXL12		FJX1
THBS3	LHPP	SSH2	UBXN1		H3F3B
GFPT2	BLZF1	AFDN	BBS2		HIST1H1B
MED24	DFFA	GON7	ZNF70		SLC52A2
GSTM1	LMNA	JAGN1	PNMA8A		BANP
TPRG1L	AIP	ADAM12	UFD1		HPCAL1
TBC1D15	CAP1	VASH1	CREG1		FIBP
FAM129B	MARS	ADGRB2	ZDHHC18		GTF2H3
MPDZ	ALDH9A1	PRRC2A	MFSD12		TBRG4
MTUS1	CAMTA1	BCL9	BRI3		RIC8A
HNRNPR	ZNF444	TTYH1	PDCD6IP		DSG2
CEP72	TARS2	MGRN1	RPS21		C1orf106
MTMR2	NUBPL	TMEM138	FAM96B		LRRC24
NARF	BFAR	ZC3H7B	FIS1		FZR1
CISD1	COA4	ERCC3	ITGA5		LAMC1
HAPLN4	AP4B1	GLYCTK	CNOT9		TAP2
MATR3	RABIF	DTX3	SMTN		MOGS
FUCA2	TUT1	GALNS	C7orf50		VPS26B
CMTR1	TPM3	CRKL	CSTF2		CCNA1
MFF	SDE2	CSPP1	GABARAP		MAST4
DTD1	DNAJC11	GOLGA3	CTBS		HEXDC
CDKAL1	PLTP	CRTC3	ZNF655		SMYD2
G3BP1	FAM104A	SAPCD2	SPRYD4		MYO1C
PHKB	UBE2J1	PSD3	ARMC5		SORBS3
STN1	RBFOX2	TEP1	TEAD2		PIP4K2A
TAF12	DKK3	AHI1	SON		TTLL4
SEC23A	KRT18	NCOA1	SLC35B1		DXO
EIF3M	PPOX	AGO1	GPR108		PEG10
SMAD2	VARS	FZD4	DENND6A		PTPDC1
RBL1	HAUS7	KIAA1211	FLCN		PSMA5
SNRPN	MAFF	FTL	MED30		PSMB1
ATP2B4	CREB3	TTC7B	SCO1		MFSD3
CSNK2A1	CAP2	KIF3B	MRPS12		PSMG2
RUVBL2	ALDOA	SCRIB	DUSP7		SYAP1
TBL1XR1	LENG1	CNNM4	BAHD1		AAR2
CDR2	TIPARP	ARFGEF2	PIGQ		PARD3
