list1	list2	list3	list4
RBM10		HUNK	THY1
LRRFIP1		TIA1	TAF10
EGLN2		ZNF70	STAT2
TMEM203		PRMT6	SAE1
HTRA3		PNMA8A	SORD
RBM33		UFD1	ATP5F1A
COMMD7		GRK5	UMPS
EIF2B1		CREG1	ZNF805
SLC19A2		ZDHHC18	TTC1
TUBA8		RNASEH1	NOC2L
ACTR8		PTDSS1	SAP130
EXOC6B		MFSD12	ASB8
TIGD5		EPHX1	COG4
SPG21		EPS15L1	SAMM50
ALG8		PDCD6IP	NFKBIB
ADAM23		FBXO9	NID1
RPTOR		MED31	DUT
ATF4		MRPS18C	FBL
VAV2		MRPS16	PSMB8
CYP1B1		FIS1	TXNDC5
PLCB4		ITGA5	LDHB
CDYL		CNOT9	SFXN4
IVNS1ABP		CCNT1	TECR
SOX11		GSTCD	PSME1
ZNRF1		DDX59	TSPYL1
RNF215		SMTN	CALR
NIPBL		FBXW8	GINS4
YIPF3		C7orf50	RNF212
SRF		DNAJA1	KPNA2
ANKRD13C		HNRNPL	KLHL18
PLOD3		PRMT1	CBL
SP110		CSTF2	DPM1
C12orf45		DHX57	SCP2
DHRS13		ARSB	MAP2K1
NECTIN3		TADA3	ADIPOR1
GLRB		GPRC5A	DHRS11
SSBP3		TAF1A	RAB1B
EIF2AK2		CTBS	SLC25A28
SYTL3		THADA	HEXA
ZNF608		ZNF655	GATD1
STUB1		SPRYD4	RNF7
RINT1		METTL17	RBX1
IFRD1		NDRG2	TBCD
STIM1		TMCO6	TMEM209
EIF2A		CCDC32	CLCN5
TBX2		P3H1	PFN2
POLR3H		ZSCAN21	ARHGEF7
LHFPL4		ZNF548	VKORC1
TACC1		SEL1L	RNF126
MYLK		FAM199X	RRM2
ZNF490		SLC35B1	GHDC
KHNYN		RNMT	UBE2H
VPS18		GPR108	UBE2N
PCDH18		DNAJC14	COX6A1
CRNKL1		LZIC	GYPC
B4GALNT1		DENND6A	POLR2D
SLC25A17		ST8SIA5	TM9SF1
BRD9		MAD2L1BP	PRDX4
PDE4DIP		C16orf72	LAMTOR2
MAP2K2		GIGYF2	TRPC4AP
PGPEP1		USP6NL	PAXX
ATP6V1C1		CALCRL	PEBP1
NACC2		CDK16	MUT
MBNL1		FLCN	SUSD1
ZNFX1		MED30	MAPK8
PSTK		SCO1	RRP36
NMT2		MRPS12	DEF8
CD3EAP		OLFML2A	GSTM2
HELZ		DUSP7	PPID
SUPT5H		DUSP6	PSME3
SCAMP3		E2F3	CDC42SE1
GON7		GDI2	COX5B
JAGN1		BAHD1	COX6B1
TRIM11		RP2	COX7A2
ADAM12		TRMT1L	MTMR1
PAK4		PIGQ	DBI
VASH1		KLHL26	CCDC28B
PLK1		DDX49	BAG6
POLRMT		FDX1L	ATP2A1
DLGAP1		GMNN	TMEM135
ATP6V0B		WDR1	CFLAR
PRRC2A		C18orf25	ACTR1A
GATAD2A		SNX30	RPS2
BCL9		HNRNPK	ESYT1
TTYH1		PYCR2	NBR1
TTYH3		METTL16	NECAB3
DGUOK		AHSA1	ARF1
MGRN1		HMCES	DDX51
KCTD20		SNX1	RACK1
ZC3H7B		SNTA1	NONO
TRIM16		L3HYPDH	RTF2
ERCC3		SNRPB	TPM2
GLYCTK		SNRPC	MRGBP
TSPAN9		COG8	AEN
RPS27A		MRPS26	UQCRC1
RPS6KA1		PIGU	UBE2T
DNMT1		TSPO	GMPPA
DTX3		KDELC2	UNG
TM2D3		RAP1GAP2	ARL8A
GALNS		UBA2	ESYT2
CRKL		PEX3	SAR1A
ABRAXAS2		TMEM38B	SLC11A2
CRTC3		UBAP2	C1RL
CERK		SEC61G	GLYR1
SAPCD2		DGCR6	VPS4B
CNTN3		ENTPD4	SPR
PSD3		EXOSC9	C22orf39
PRSS56		DDX54	CUTA
BCAR1		H2AFV	YAP1
TLE4		SNX9	NDUFB2
WDR43		SEPSECS	PARVA
TEP1		SVBP	LEPROTL1
AHI1		JKAMP	CD82
RBM25		TARBP2	NDUFS7
NCOA1		RPL7A	PDLIM5
AGO1		GTPBP3	PLEKHJ1
FZD4		COMT	RNF146
KIAA1211		BTBD2	FAM210A
FTL		FOCAD	GATC
SMC1A		RAB34	COL4A2
LONP1		CAMKMT	ACP1
RPL4		CTSB	ANXA5
STK10		ATP6V0D1	ANXA6
SCRIB		ASB13	NUP88
OGFOD3		DNMT3A	PET100
SLC35C2		YWHAB	SLC2A4RG
CNNM4		RPA2	MED28
FXR2		KIAA1191	HMGA1
TEPSIN		TBC1D24	SHCBP1
CRAT		MRPL15	DTL
ARFGEF2		CLUH	PRKCSH
SSRP1		SLC35E3	SP1
CCDC106		ACADVL	HADHA
POLR2A		NDUFA11	C19orf70
RUFY1		POLD2	SLC9A7
UVRAG		KANK1	HNRNPH1
DAAM2		GFPT2	UQCRC2
DBF4B		PARP8	DHX15
FBXL4		NTAN1	RPS14
OCRL		GOLGA7	PTPMT1
PTPN9		MED24	CANX
ZNF562		GBF1	TMEM258
SASH1		RMND5A	USP5
ATG7		GSTM1	DNTTIP1
AQR		ETV4	PYROXD2
USP54		TPRG1L	AAMP
APBB2		MMP14	MCFD2
Mar-05		ACP2	PGD
ACVR2B		TGOLN2	FAM207A
ZNF639		JAM3	NUBP2
CRIM1		ALDH1B1	COX10
PLEKHH2		UROD	APLP1
CDAN1		DOLPP1	JAM2
BMP2K		TBC1D15	NMT1
CECR2		SLC25A4	NDUFV3
SMUG1		PRRT3	UBIAD1
TMUB1		IWS1	PMP22
LRRC14		TMED4	MRPL55
PIP4K2B		CD276	PITPNA
MMACHC		FAM129B	PIN1
IL17RD		POLD3	ARHGEF6
SNX19		USP39	CHMP2A
E2F1		HSPA8	GLA
PRDM5		MPDZ	S100A4
NPTX2		RAD23B	TXNRD2
C16orf58		GSS	SNTB2
CCDC136		MTUS1	ITGB1
TNS3		GTF3C5	HNRNPD
ZSCAN22		CEP72	HNRNPDL
WIPI2		FERMT3	LRRC42
RARA		MTMR2	FBXO21
SPOCK2		NARF	ELF4
ABR		CISD1	RHBDD2
JPH2		PDE4D	DLST
PIGF		OPN3	KHDC4
MGA		FAM193B	ATP5MC3
ST7L		RBBP4	CDK2
FOXK2		HIST1H2BK	CKB
SH3BP5		ATRAID	NOSIP
TOMM34		HAPLN4	HSD17B4
CXXC5		JMJD4	TMEM43
CASC4		YDJC	GABARAPL1
RABL3		CDC20	GEMIN6
PPARD		PCOLCE	RFC3
ITGAV		MATR3	SHMT2
ITGB5		FUCA2	VPS72
DAG1		TM2D1	AAGAB
RIPOR1		TRIP6	EEF1G
HYAL2		NOL3	ADGRE2
PANX1		RDH11	STOML2
TTC28		APH1A	ACD
SETDB1		IL27RA	PCID2
MMD		VWA8	ALDH2
DUSP2		CMTR1	STX18
NIFK		JOSD2	LPGAT1
TRABD2A		MFF	ORMDL3
HIC2		COPS4	ZNF460
TAB2		BNIP3	ACTL6A
UBE3B		BYSL	ISG20
CDH2		DTD1	KDELR1
INF2		SHOX2	TUFM
DENND1A		G3BP1	TALDO1
USP37		PHKB	DDX11
PAPOLA		NUP210	MYL6B
OSGEP		STN1	C1orf122
WBP11		RNF149	ELF2
UIMC1		RFFL	RPAIN
ZNF549		TAF12	ABCD4
RTL8C		LRRC41	SUMO3
SLC12A6		SEC23A	STXBP1
ARHGEF10L		EIF3M	ASNA1
HIST1H3G		DOK1	CCND3
HIST1H3E		SMAD2	STK32C
FLVCR1		RBL1	CALM2
FRMD6		NFIX	CARD19
MIER3		SNRPN	EPB41L3
RNF40		MRPS5	PPIF
CEP192		ATP2B4	EMD
WIPI1		CDKN2D	ACTR3
SLIRP		CHEK2	TSPAN3
SIPA1		CSNK2A1	ANKZF1
MPZL1		TNIP1	HS1BP3
FRMD4A		CTPS1	NXN
POLR1A		RUVBL2	ENO1
SLC35D1		TBL1XR1	PDZD11
RTF1		CDR2	PIGT
TLK1		CLASP1	SDSL
MEIS2		SHARPIN	DNPH1
RANGAP1		SFXN3	ATF6
ARHGAP45		MED25	IMPA2
PKP4		AMD1	EFHD2
SUPT6H		DDX52	CLEC2L
C11orf24		THG1L	SRSF1
RRAGA		SCAF8	CARHSP1
ACOX3		ECSIT	HNRNPF
EIF4G2		SEC23IP	GFER
ERC1		POLR2B	MCM6
IL17RC		H2AFZ	MRS2
CPT1C		GYS1	NSMCE2
TSC1		DNAJB5	WDR41
ETS2		CUEDC2	SCRN1
RAB11FIP4		METRN	PIGC
HK2		PSMD7	DBR1
GPBP1		RGS3	RPL8
TAF4		LRPAP1	AHCY
PPWD1		AMPD3	DAD1
UPP1		ZRANB2	TLL2
SPRED2		BHLHE40	RAPSN
PCDHGC3		NKIRAS2	TMED10
CCDC85C		MLST8	ACOT2
SFMBT2		DDX27	NDUFS3
PPP1R9A		GPX7	GATAD2B
MFSD14B		EHMT2	ATP6V1G1
B3GALT6		RFC2	SPP1
TYW1		UBAC2	COPS7A
FBXW11		SCCPDH	ATP5MPL
NDC1		DISC1	ARFRP1
ZNF26		TP53I11	GABARAPL2
CENPA		NCAPG2	NEU3
EXO5		GPRC5B	VIPAS39
TAOK2		EXOSC4	LBX2
GRK3		FNBP1L	GNB1
GTSE1		ARHGEF2	KISS1
SLC27A1		ZNF407	UBA3
CGRRF1		TMEM175	FAM53C
SLC9A1		CHEK1	MRPL22
COL5A1		CYFIP1	SLC25A12
KIDINS220		EIF3L	VPS28
FAM217B		TTYH2	RRP8
CLOCK		AKAP13	RCC1
TUBGCP2		DNA2	AHCYL2
ANGEL1		NOLC1	UBFD1
WEE1		SOD1	AP1S1
PLAA		APPBP2	CERCAM
RASA3		GIT1	CBFB
ALMS1		FBXO17	COL1A1
TMEM8A		FIGNL1	POP5
PRPF6		PPP2CA	RDH13
TINF2		PHPT1	COQ8B
UBR1		ZNF768	UCK2
LRP10		CAB39	HM13
C1orf159		RTCA	CLPP
MED8		ATRIP	MANF
PAFAH1B1		MRPS34	TOMM40
CKAP4		SLC4A2	PFDN1
SYNGAP1		DIS3L2	PFDN5
APBA3		TMEM237	GAR1
USP30		ANO10	TFPT
RSBN1L		PNO1	GSN
P3H4		GOSR1	ZNF8
AKAP10		NCAPD3	SYS1
TRABD		RIOK2	DUSP12
GOLGA1		SNX29	DUSP13
C19orf47		DHX16	SAT2
SH3PXD2A		SLC4A11	NMD3
ZNF592		TRAM2	PTPA
TMEM184C		MAT2B	DCPS
DYNC1H1		SYF2	PSRC1
CLCN7		ARCN1	SYNGR1
TRIM27		RNPEP	PLEKHB2
ZCCHC8		MAVS	MAP4K2
GTF2H1		CROT	TFPI
PAM		Sep-08	NEK9
DIDO1		ERLIN2	PAX3
ST5		ZNF593	ERP29
SLCO4A1		STRAP	RGP1
KLHL22		EIF2AK1	IFI30
NFYC		NFE2L1	ECHS1
PHC3		R3HDM4	RAB5C
TGFB1		IQGAP1	SZRD1
WBP1L		DCTD	NAA10
C6orf89		CLIC1	MCRIP1
GPR137		JSRP1	DPYSL5
NPRL2		ZMAT2	EIF4EBP1
DCAF12		Sep-03	RFXANK
ANO6		CASP8	NEMP1
ZNF687		VIM	CRCP
ZNF700		AURKAIP1	LPCAT3
PEX26		TMEM14A	TRAPPC4
MLLT1		PRPF19	ALYREF
GEMIN5		YBX3	CNRIP1
AGPAT5		CAMK1	SWI5
TECPR2		PI4K2A	NAA38
TPX2		IGFBPL1	BABAM1
KCTD1		MCM3	ADH5
CENPM		PTPN12	MCEE
PCSK7		NCL	COPB2
SPSB4		B4GALT1	DESI1
MAGI3		C19orf44	NAF1
TMEM201		CHN1	PTGES3
PDCD6		HEY1	NAXE
TXNL4A		TMED8	CTDSP1
OSGIN2		NT5E	NDUFA9
AGPAT4		SPRTN	DDX19A
TSC22D2		USP33	ACTR5
MDN1		RBM34	PDCD2L
ZSCAN12		EXOSC6	C21orf33
GPRIN1		RAD51C	MAP3K7CL
CNST		PCYOX1L	TFE3
SLC19A1		HK1	ABHD12
CHD3		BIRC5	FADS2
MMADHC		CLPTM1L	MRPS6
C20orf194		C1orf123	HAUS4
FBXL15		QRICH1	PDE6D
ALG12		HCFC1R1	MARCKS
SLC25A23		DUSP11	EXOSC2
ABCC5		EFEMP2	NOMO1
CNNM2		PES1	NCAPD2
PALD1		HP1BP3	SLC25A3
ZSWIM9		FLNB	HLA-A
REPS1		CNOT2	RSU1
DDX41		NAGLU	SLC30A6
PIGV		MTHFD2	NPTN
MAP1S		UBAP1	SEC14L2
TMEM2		PSMC5	ETFB
RECQL5		RBM38	BEX3
INTS13		ZSCAN9	ALPL
MAD2L1		HDHD5	AK1
NCS1		C11orf80	RNF187
BOC		COLGALT1	TRA2B
FEM1A		RAD51AP1	PGK1
CAMTA2		HS6ST2	NCSTN
TCF19		PDE12	DUSP14
PAAF1		LMBRD1	MDH2
TADA2B		PIMREG	GTPBP1
MTMR14		ATF1	PA2G4
PDP2		TIPRL	RNF214
EBF3		STX3	LAMTOR4
DAXX		CELF1	RBBP9
COBL		SMARCE1	PAICS
DCAF6		WASF2	CSTB
HMGXB4		GINS1	PDGFRL
MED1		PRPF38A	ZNF556
ZWILCH		ARL16	MOAP1
ZNF783		CPPED1	FAM229B
WDR47		ASCC1	ELOVL5
ANKRD28		ADAM9	CDT1
ITPR1		MB21D2	SCRN2
RABEP1		DLD	PACSIN2
ELOA		PLBD2	BOD1
ARVCF		ANXA1	ACSS2
KMT5A		RAP1GDS1	IGFBP2
PHKA2		SRC	BLVRA
HERC1		PPARGC1B	ENTPD7
ISOC2		GPR161	PRDX5
EIF4A3		SSR2	EIF4ENIF1
RBM48		DCAF4	MZT2B
AGO3		DNAJC7	POLE3
UBR4		PHF19	FITM1
LGALS3BP		NFYA	ARHGEF19
ALDH4A1		PELP1	MCAM
ARHGAP4		STX10	SGTA
ZBTB48		SRPK1	SDC4
LAMP2		HUS1	SDC2
NOA1		ERI1	TNNT1
OLFML2B		DDX31	NDUFB4
REEP3		OSTF1	IRF2
CHDH		ATG14	RCHY1
DVL3		NUMA1	MYH14
ABCB9		PHB	MAP2
TNFAIP1		TCP11L1	TTC13
CEP95		ORC2	S100A2
SERPINH1		FBLIM1	PCBP2
TAP1		MAN2B1	PMVK
IGSF8		R3HDM2	PTMA
ANGPTL2		APMAP	C8orf82
PTBP3		RTN4	PMEL
ZBTB40		CPT2	NAA20
FBLN7		ATP1A1	SDF2
ITCH		UFC1	GINS2
CYB561A3		CDK5RAP1	RBM12
PVR		NSMCE1	PMS1
POLH		NADK2	TMEM110-MUSTN1
NAV1		BCL2L13	NQO1
FAM219B		RNF14	CAMLG
NUMB		GGCX	CCDC97
TGS1		EEFSEC	ZNF395
ZDHHC8		ZCCHC2	FUT11
PEX10		CABLES2	TMEM208
MYH10		ADAR	CFL1
ASNS		EEF2	SRSF9
SCAP		CCT3	NPEPPS
ALX4		C20orf27	CNPY4
ZC3H3		TNRC6B	EIF4H
GLIS2		ZFP91	REXO2
ANKLE2		RUVBL1	CTAG2
C2CD2L		PCDHGA9	BCL7A
NFIB		NDE1	MGMT
MTX2		CLDND1	MIF
ITGB1BP1		GFPT1	ARPC5
RNF217		AP3M1	C12orf57
PRDM4		OTUD4	CDK9
CLUAP1		ATP6V1A	CTNNBIP1
RSPRY1		ATP6V0C	VGLL4
ANTXR2		ATP5PO	CDC6
NUMBL		SCAF4	SGCA
NFYB		WDR61	PRRC1
DNAJC1		EPOR	SEC24C
DOCK1		YIPF2	COX5A
SPAG5		FKBP5	AGFG2
TMEM65		UBE2G1	CITED2
RFX7		CIAO1	IGFBP6
NR2C2		COX6C	LOXL2
CLMN		PROCR	URM1
SHROOM1		FBXL17	NSL1
SDC3		GEMIN7	RAB12
SCARB1		ATE1	ROMO1
BECN1		DMD	PNPO
LARGE2		C8orf33	ELAC2
SSBP4		TMEM11	FAM168A
MAML1		CYP2U1	TOX4
KCMF1		CPSF1	CAMKK1
TBKBP1		LRWD1	VHL
LRIG2		MAF1	MRPS23
WNK2		KIF1BP	C17orf75
OTULIN		GSKIP	MCUR1
STAMBP		TCTN3	HNRNPC
RAD54L2		MTR	DDAH1
SEMA6A		ARPC2	UBE2M
EPS8		NR1H3	PLA2G16
USP10		PACS1	CCND1
MOB3A		SAMD4B	EDF1
MEN1		SLC9A3R2	CADM4
TGFBRAP1		ZCRB1	PDRG1
AGFG1		PDK2	ATP5MC2
TEDC2		ULK3	SSBP2
AGPAT2		SFXN5	UQCR10
PKN3		ERI3	MPG
IFT22		GLS	MRPL11
TOR2A		DLGAP4	PAF1
AP4M1		RNF44	NDFIP2
ST7		SDHAF2	GBA
UBR2		MRPL16	ILF3
SIN3A		TMEM127	LANCL1
TMEM33		SLC31A2	GSK3A
URB1		CLK2	SIRT2
RHOBTB1		TGFBR3	HSD17B10
HDLBP		PIAS2	CCDC12
HCFC1		GPATCH4	TFAM
FKBP15		BRF1	FLOT2
NADK		SF1	MRPL49
SLC25A10		TSEN15	SIRT6
CCNI		CPSF6	MAGEA6
CTBP1		ZNF131	ALG5
GTF3C1		MRPL44	PTPRH
HECA		VPS33A	CCNJL
GTF2I		KIF20A	GOT1
HNRNPUL1		GLTP	COA3
LAMA4		TSPAN14	ALKBH2
KIF24		BTRC	TAF11
ABI2		ORMDL1	BUD23
NOTCH3		GLOD4	ZCCHC17
RNF34		ATP6V1D	CHCHD3
ELMSAN1		SIMC1	PARK7
EHMT1		MED29	LYPLA2
MTF2		USP20	UBE2I
SPATA13		PSMA1	HES4
AGAP3		HEXB	CARS
NFATC3		SORT1	ATP6V0E1
SPHK2		RPN1	PIP4K2C
SSX2IP		DCTN3	UNK
RABEPK		DHX40	FOXRED1
HSF1		OPA3	ANKRD27
HMG20B		SETD6	CAPZA1
MCRS1		HIST1H2BD	ACADM
SOX9		EMC10	LRRC47
ACBD5		MAGEA11	TSTD2
SDCCAG3		MLEC	FAH
C2CD2		SNW1	AKT1S1
CCSER2		B3GALNT2	ELOF1
NFATC1		EIF2S3B	EEF1D
BDNF		CHMP7	GABPB1
CREM		OTUD5	CHMP4A
GPR176		OBSL1	MKRN2
PRDM16		ANAPC4	VPS33B
PWWP2B		TMED2	UBXN7
VSIG10		FNDC3B	PIH1D1
ALKBH4		PCDHA4	DNAAF3
SIRT1		RUFY3	SPC24
EIF2AK4		PTOV1	TRIM14
TCF3		NME6	DTYMK
AKAP6		RAC3	OXSR1
C5orf34		TBC1D13	DAZAP1
TPRN		TOMM7	HBP1
SLC8A1		FAU	ATXN1L
FAAP100		EXOC4	IL11RA
UHMK1		TMEM214	MRPL4
HSPA4		NFIC	PFKM
B4GALT3		FOXO3	TMEM159
PTPRF		RARS2	UQCC1
EIF4G1		PSMG1	XRCC1
GORASP1		MLF2	TMEM109
CELSR2		CANT1	EXOSC1
NT5DC3		KCNMB4	SNRNP70
FHL3		RABGAP1	CD63
TARBP1		COASY	RAB5B
TBC1D10B		FH	CYBA
SMARCD3		NEMP2	SNAPC2
HDAC10		HIST1H2BJ	PARP3
RNF26		PPP5C	TROAP
ISCA2		PRDX3	DSN1
UTRN		PFKL	PIP4P1
PPIL1		SIVA1	CYB561
SLC41A1		RBM28	SGSH
CYB5R4		SLC26A6	ARL6IP6
ANAPC5		ACTN4	FAM234A
POR		PPP6R3	IFI27L2
FBLN2		CCT6A	COQ4
RPS6KA4		GTF2F1	EMC1
UBTD1		GRSF1	RNF5
EPDR1		GSK3B	SP4
ZKSCAN5		LARS2	COMMD9
MTA1		OGDH	ATXN2L
PRR12		CALCOCO2	PPIB
ZNF512B		BOK	CENPX
GDF11		ANTXR1	CSRP1
TMCO3		NSUN5	ACAA2
PGBD1		CYP26B1	HAX1
PYGO2		TRIM47	VAT1
SLC25A39		AP2M1	CRTAP
TRUB1		TMEM63A	ADGRE5
RBM8A		TBX1	PEX5
E2F5		KCNQ5	TIMM17B
RASGRF2		GTPBP4	MEA1
CUL7		OXA1L	SF3A1
SLC12A9		CHMP4B	SAP18
TBRG1		TTF2	RPAP1
PDE4B		SHPRH	HES6
NOL10		COL2A1	PGM1
ALDH6A1		BTBD1	NFXL1
HOOK2		CACUL1	FSTL1
PDE7A		SLC25A5	TAGLN2
NEIL3		ANPEP	CCS
CDK5RAP2		DCAF11	EIF5A
CRACR2A		WDR45	ETV5
ATN1		STYXL1	ZNF24
MED16		SPOCK1	TNIP2
UNC5D		GNB5	RPUSD3
RNF216		VRK3	TRAFD1
KLHDC2		MRPS7	GPI
WDR26		FOXK1	LDLRAP1
SBDS		USP22	HLA-C
TMEM179B		SPINDOC	PYGM
WDR62		ARPP19	PSMC2
SNED1		RCOR3	PRDX1
KIF13A		LIN52	PSMD2
FASTKD3		PRCP	SS18
VTI1B		RING1	HIRIP3
RSAD1		RNH1	BTN2A2
SGCE		RILP	VMO1
LRRC8E		VWA1	PSMB5
CSNK1G1		MAD1L1	MRPS11
UBE2Q2		KIAA1671	BUB3
KDM5C		RAB3GAP1	PPM1K
WARS		RIMKLB	STOM
TRIM56		ZNF394	PHC2
C1QTNF1		DDX10	HMG20A
TRIP13		ACAD11	CYB5B
NAB1		ZNF526	DNAJB6
PPP1R15B		MYD88	NDUFV1
LRP11		NPC1	TMX1
EML1		EPB41	ZNF350
ADAL		NTHL1	MAPK9
PPP4R2		ATPAF1	TRMT112
CEP250		HDAC7	RNASEH2A
GMIP		EP400	MRPL30
C9orf40		NRDC	NDUFB10
HOXB2		RFTN1	ZMPSTE24
ZNF484		OSBPL5	PARL
AKT3		UVSSA	NAT9
CPNE2		SPATA6	AP5S1
USP48		RBMS1	NUDT14
ZSWIM4		MRPL51	DNAJA3
PYCR3		CPD	ECI1
C11orf95		WDR20	CYC1
GRB10		CORO1C	UQCRB
ATL1		KLHL15	CTSL
PPRC1		BHLHA15	RHOF
CCNC		NUP205	GPHN
RAB32		COPS7B	WDR55
KLHL12		NDUFV2	RPS9
GPAT4		PAIP1	EIF2B5
VPS35		PCBP4	DNLZ
DGKZ		OAF	HSPA14
MINPP1		FAM114A2	PRPS1
WDR6		SLC37A4	C9orf16
INTS1		PON2	SF3A2
NAT10		NAA30	CMC2
ZNF638		APTX	GGCT
COMMD5		ATG5	NCAM1
RTL6		GYG1	DDA1
DDHD2		MAZ	TRPT1
AFF1		KIF1A	TOR1AIP2
SEMA6C		SNF8	PXMP2
ATAD2B		GTF2E1	RBP1
CENPB		TIMP3	POLR2G
ESPL1		DOPEY2	BLOC1S1
PXDN		UNC119B	CHAF1B
CASKIN2		ALDH16A1	PAPSS1
MUM1		PALLD	PKM
WDR11		PFKP	ME2
C12orf29		PRMT2	PTPN1
TANC2		DLAT	SLC1A5
ZMYM6		ZC3HAV1L	KBTBD4
PICALM		CDCA5	FGF13
PUS7		ARMCX1	CD164
FAM171A1		LSM4	RAD51
DOLK		UBOX5	GSR
MAP4K4		CORO2B	P4HA1
BAIAP2L1		MORC2	AK2
LZTR1		MON1B	THOC5
MCM8		CLASP2	PTRHD1
PTK7		CHST14	PRKAR1A
IFT172		TRAPPC5	MLIP
PDZRN3		TULP3	COX11
FERMT2		ARAP3	HMGN3
MANEAL		QKI	TAGLN
KIF23		SF3B2	ATP6V1B2
CHRAC1		SPHK1	ARHGEF3
CEP112		GUSB	PCCB
TEX10		ZNF317	ERCC6
SNAP47		DDX55	ETFA
NOTUM		ARL1	DBNL
COL12A1		DNAJC5	BBS1
NMNAT1		PRKAR2A	YRDC
CMIP		THOC6	DNASE2
NEFL		NUP107	SAFB
KPNA1		RFWD3	PLS3
MGAT5B		DERA	HNRNPAB
PHF20		MRPL2	TTC9C
PLEKHM3		CAPZB	BAG1
POMGNT1		CTHRC1	SESTD1
EMC4		SEC24D	PAOX
ZYG11B		STK24	CTSA
ST6GALNAC4		BSCL2	DRG1
MPV17L2		ZNF304	EMP2
NFKBIA		ZNF7	EMP3
KREMEN1		PPIL2	ECH1
BICRAL		CDC25B	NINJ1
REEP4		ZNF511	COMMD4
MSL3		HIST1H3D	DYNLL1
AKT1		RELT	ISG15
JAK1		RFNG	APEX1
LLGL1		KIAA0141	KDM3B
POLL		ATF2	MRPL52
PLPPR2		INA	SHMT1
GTF2IRD1		PLRG1	CYB5R3
TMEM181		PLP2	KIAA1147
SORCS2		PLD2	C4orf3
MIB1		ST6GALNAC6	FOXO4
SAMD4A		FCHSD2	GMPR2
KEAP1		AASDHPPT	GPM6B
KCTD15		SNRPD1	GPD2
EXOSC10		ZNF473	PPP1CA
MKLN1		CSNK2B	FEZ2
WNT5A		MPP6	REX1BD
E2F4		DKC1	SPCS1
MRPL20		SH3KBP1	MRPS18B
ELP1		ZNF691	ACAD9
TRAF7		GNA13	EEF1B2
HPSE		SLC5A6	RNF19B
BTBD6		CTNNBL1	CCT7
SRCAP		NME4	TMEM256
STAC3		ANAPC15	TMEM126A
TECPR1		C19orf24	KLHDC10
ARMC8		SEC61B	PQBP1
IRF2BP1		SF3A3	RPS19BP1
NPAS2		STARD3	SMARCD2
ZSWIM8		PRC1	GIPC1
PKN1		NARS	ABCB8
SNX33		MOCS2	MAPK3
YLPM1		BTBD10	TBCCD1
B4GALT7		TARS	PDXDC1
ARPC1A		ADAM17	NDUFA2
HEATR3		ZYG11A	CENPP
CSPG4		RPE	NDUFAF3
PI4KB		TRMT2A	LMAN2L
ITFG1		NELFE	PNMA2
COP1		ACVR1B	BCL2L1
ARMC6		SLC26A11	RPL18
RPS6KB2		RPL18A	GID8
SYVN1		DCAF5	ZDHHC20
B3GNT7		SHPK	FBXO38
HTT		GNL1	GLRX5
PGP		ARL6IP4	CHMP5
NAA50		GNAI3	RELL1
APBA2		INPP5B	GSTP1
SLC39A9		TBC1D2B	AKIP1
WSCD1		PARN	TMEM38A
ABHD16A		PBX1	ATP6V0E2
IFT122		PBX2	PREP
CBX2		UCHL3	CTNNA1
CDC42EP1		IPO5	APBB1
DLG1		SIGMAR1	FAM173A
SCFD1		CPTP	ZNF436
CCDC92		NOC4L	PPP2R1B
CREBZF		C1QBP	LAS1L
ITGA3		ARPC1B	QTRT1
SLAIN2		QARS	S100A13
ZNF276		ZNF358	MORF4L1
RAB1A		WRAP53	TDRP
GNPAT		DUSP4	ZMAT5
ME3		DPP3	MYDGF
SHROOM4		CD47	BPNT1
RIPOR2		ORC1	CALM3
DEAF1		ALS2	AAED1
SQLE		GALNT10	MRPL53
TYRO3		RAB4B	TM7SF3
YY1		MRPS33	SERF2
PRKCE		PPHLN1	WBP2
FAM122B		VTA1	OPTN
PDPN		TRMT6	SDHA
SLC7A1		PSPC1	CDKN2AIP
PRRC2B		METTL13	ARL2
ADAM15		CXXC1	ARF5
RBM15B		GLMP	TBC1D20
STK25		LSM14A	BCAS3
PRAC2		PHLDB3	MCM7
PAK2		CRELD2	RALA
MZF1		NUPL2	SPARC
TMCO1		CENPO	PRPF31
INSR		SIX4	PAFAH1B3
WDR4		NUP54	KLF11
PIP5K1C		HIST1H2AC	PRKACA
ARHGEF1		CTCF	SND1
KIAA1958		SYPL1	TMBIM1
INPP5F		TUBA4A	TSC22D3
CSRNP2		TMEM39A	MERTK
INPP4A		PIK3C3	PITPNB
C2CD3		ASXL2	FAM117A
BUB1		ZFX	NABP2
XPC		CNOT10	BNIP3L
ASIC1		GRHPR	TSN
CCDC174		UBE2C	TIMM50
URB2		RNF157	FANCG
MAPK12		CCNE1	DNAJA2
ZMIZ2		IVD	RPS3
TELO2		DAB2	S100A16
MEX3D		DARS	OSER1
SEMA3A		COQ10B	NDUFB8
IK		SENP1	CLPX
BAP1		WDR54	HIGD2A
STIL		TGFBR2	CCM2
SENP5		WDPCP	HECTD3
UBTF		TFG	TUBB4B
SULF2		SLC39A1	INAFM1
ZNF598		HMGB1	IRF9
RNF185		CDC7	HOMER3
REV1		GGT7	DDOST
ARID5A		PRAME	EIF2B2
PDXP		GFM2	TMEM97
RPP38		VAPB	POMT1
DHX36		DCTN1	CELF2
		ERLIN1	
