HLX	ACAA1		FARSA	RANBP1
GTF3C2	COL18A1		POLE4	ZNF232
SLC16A2	SMG9		GDI1	TJP1
AKAP1	NIP7		CNDP2	RARG
KIF4B	COL5A3		ACADS	RMND5B
CDC27	SHKBP1		AIFM1	EYA1
BAZ2A	RAPGEF6		MESD	ELK1
U2AF2	TRIM24		SLC35E1	ZNF445
TIMELESS	KANK2		DBNDD1	RUFY2
B4GAT1	ADORA1		LSP1	TMEM9B
SCD5	VPS25		SNRPF	AP5B1
DNASE1L1	STRN3		APOL2	NAV3
WSB2	FAHD1		ABCD3	PPM1B
NARFL	RBFA		SLFN11	HLA-F
NDN	SET		MCUB	SAMD1
FAF1	CD55		PEX19	USP42
ABCF1	UQCRH		FAM89B	PLCB3
CYB561D2	NEURL4		FAM118B	TTLL5
CSNK1A1	THOC1		RNASEH2C	ADAMTS17
STK38	PRPS2		CNTNAP1	PCGF3
C1orf174	AATF		NIPSNAP1	MKNK2
FAM53B	FAR2		PECR	ARHGAP42
ERH	UNC45A		HDGF	UHRF1BP1
EIF3D	PPT2		CERS2	KDM5A
EIF3A	CBX6		CHP1	DSE
MECR	SAMHD1		SRP19	MAPKBP1
APEX2	COPG1		ISOC1	PPP2R3A
LMF1	RAB11FIP5		FHL1	PALB2
PLBD1	C10orf76		SDC1	CHST15
MFSD14A	MRPL39		RPS5	ERN1
WDR7	MAGEA3		COX8A	HOXA13
CDK14	TFPI2		CHRND	IP6K3
LIG3	WARS2		SH3GL1	IFNGR2
DHPS	HMGCS1		FAM50A	TTLL12
DIP2A	BARD1		SNIP1	RASA2
CHUK	SNRNP27		NUDT1	PRSS23
UTP18	KDELR2		NT5C	TNFAIP8L1
DMTF1	KDELR3		STAT3	C7orf26
ZFPM2	FBXO3		TSPAN5	UBN2
GLUD2	TMED1		THYN1	ZNF668
NBN	PEX14		PSMD14	SPTBN1
PPP2CB	CAMK2G		LHPP	GCLC
ETV6	CORO1B		BLZF1	FAM160B2
GPR162	RALY		DFFA	WDR81
ZNF446	ARF4		AIP	NEK7
RMND1	VCAM1		CAP1	JUND
PAK1IP1	NIPA1		LRRC57	KIFC3
SELENOS	FDFT1		MARS	VPS13B
TSR3	PEPD		ALDH9A1	CASZ1
NCK2	TKFC		CAMTA1	MORC4
POMT2	CDK4		ZNF444	ARHGEF25
SRRM2	TYMS		TARS2	AMZ2
THAP11	TUBG1		NUBPL	DEPDC1B
ZMYND19	TCERG1		BFAR	CHPF2
TRIM46	H2AFY		COA4	EGLN2
PAGR1	RCC1L		AP4B1	HTRA3
ZNF211	WDR3		RABIF	RBM33
TUBB2B	TRADD		TUT1	SLC19A2
SLC4A1AP	PGAM5		SIKE1	SPG21
AFAP1	TAX1BP3		CHTF8	PHLPP1
ZNF318	UBXN4		TPM3	ATG4D
FJX1	ZNF512		SDE2	ADAM23
H3F3B	WDR25		DNAJC11	RPTOR
HIST1H1B	XPO5		PLTP	VAV2
FBXW2	RAB35		FAM104A	CYP1B1
SLC52A2	TRIM25		UBE2J1	PLCB4
HPCAL1	NUP214		RBFOX2	IVNS1ABP
FIBP	CHCHD5		DKK3	NIPBL
GTF2H3	ENOX2		C1orf198	ZHX3
TBRG4	PEX2		KRT18	C12orf45
RIC8A	PXN		PPOX	KSR1
DSG2	PDAP1		HAUS7	AFF3
C1orf106	C19orf66		MAFF	ZNF608
LRRC24	TLDC1		CREB3	STUB1
FZR1	HSPB11		CAP2	IFRD1
LAMC1	SNRPA		ALDOA	STIM1
WDR59	FAAP20		LENG1	TBX2
TAP2	MCCC1		TIPARP	LHFPL4
MOGS	GATAD1		KIF22	TACC1
VPS26B	RPLP2		GPX1	MYLK
CCNA1	SLC39A7		STAT6	ZNF490
TPD52L2	DRG2		CTSD	CRNKL1
MAST4	HSPBP1		CAPN1	BRD9
SMYD2	CD44		CBR1	FAM91A1
MYO1C	FKBP9		ARPC5L	NACC2
SORBS3	HSD3B7		OSBPL2	ZNFX1
PIP4K2A	B4GALT5		STARD4	HELZ
LPIN2	QPCTL		RPL7L1	ASAP1
TTLL4	EARS2		BCL7C	CLIP1
DXO	MDFI		PSMD8	BLOC1S2
SRPX	PDIA4		PTBP1	EFCAB14
PTPDC1	ATP9B		AKIRIN1	SSH2
HUWE1	NELFB		FAM210B	AFDN
PSMB7	SUMF1		SYP	GON7
PSMA5	PREB		GPKOW	JAGN1
PSMB1	SLC25A24		EIF4E2	ADAM12
MFSD3	CHRNA1		ABHD5	VASH1
SYAP1	AMDHD2		NNMT	POLRMT
AAR2	AP3B1		AP2S1	PRRC2A
PARD3	LTBR		RNF114	BCL9
SLC8A3	ACTR10		NSUN2	TTYH1
SRRM1	NAP1L4		ATG4B	MGRN1
TMEM87B	HNRNPM		CNPPD1	TMEM138
CA11	FTSJ1		BLVRB	ZC3H7B
FAM76A	HNRNPU		OGFR	ERCC3
DYM	RPUSD4		ZNF143	GLYCTK
FAM83D	GLUD1		PLAT	TSPAN9
GFM1	HSPA5		WDR76	DTX3
PRPF4	PJA2		CTNND1	TM2D3
PCSK5	RGS17		PGLS	GALNS
TRAM1	RAB3GAP2		EIF6	CRKL
RNF2	ZNF576		PPP1R7	CSPP1
NOTCH1	MTERF4		C11orf49	GOLGA3
GTF3C4	HDGFL2		HYOU1	CRTC3
RAVER1	TNFRSF1B		SRSF3	CERK
ABCD1	STK17A		NEIL2	SAPCD2
