AccNum,GeneName,txReads0,txRPKM0,cdReads0,cdRPKM0,txReads1,txRPKM1,cdReads1,cdRPKM1,txReads2,txRPKM2,cdReads2,cdRPKM2
NM_001305456,MED20,56.0,19.2834763488,18.0,35.6297344457,44.0,15.0678987737,14.0,27.5594680761,43.0,12.2743176309,16.0,26.2537691757
NM_001003745,OR10A3,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_002048,GAS1,717.0,227.341139747,344.0,297.166173097,347.0,109.418578156,178.0,152.919773524,517.0,135.887972832,329.0,235.596278699
NM_001351348,SPDYE18,0.0,-,0.0,-,0.0,-,0.0,-,1.0,0.598478131874,1.0,0.89771719781
NM_016571,LGSN,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_013266,CTNNA3,1.0,0.0838255258687,1.0,0.333586923444,0.0,-,0.0,-,1.0,0.0694876918563,1.0,0.276528958254
NM_013265,VPS51,104.0,33.812506027,96.0,36.6459933677,128.0,41.3863098758,112.0,42.5183109016,158.0,42.5826521705,145.0,45.8833234436
NM_024789,MFSD13A,2.0,0.632802858304,1.0,0.57701521893,3.0,0.943979159075,1.0,0.573838896786,5.0,1.31141467852,4.0,1.91328144089
NM_013262,MYLIP,23.0,6.71562290947,12.0,8.04198789432,43.0,12.4861812963,26.0,17.3283907218,77.0,18.637205361,43.0,23.8881338646
NM_001285486,NEURL3,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_024783,AGBL2,1.0,0.24956349853,1.0,0.331000978301,0.0,-,0.0,-,0.0,-,0.0,-
NM_024786,ZDHHC11,0.0,-,0.0,-,2.0,0.684378853113,1.0,0.719730141732,2.0,0.570460352868,2.0,1.19985446293
NM_024787,RNF122,2.0,0.957993216044,1.0,1.91598643209,4.0,1.90543941369,0.0,-,2.0,0.794134444217,1.0,1.58826888843
NM_024784,ZBTB3,11.0,3.31657637942,8.0,4.15852359521,14.0,4.19786114273,12.0,6.20344796943,13.0,3.2491687684,11.0,4.73994680444
NM_024785,FAM124B,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_005980,S100P,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001206998,ZNRF3,43.0,5.77464594269,21.0,6.69879567932,43.0,5.74285798428,35.0,11.1032008524,53.0,5.90016796596,45.0,11.8993037319
NM_145256,LRRC25,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_021626,SCPEP1,69.0,31.8103001876,50.0,32.9904948571,90.0,41.2632946553,76.0,49.8695136616,65.0,24.8406887332,49.0,26.8007227002
NM_021199,SQOR,8.0,3.58135456901,6.0,3.9764153003,7.0,3.11643510696,7.0,4.61361383536,7.0,2.59768790739,5.0,2.74689519507
NM_032725,BUD13,40.0,16.2589601127,30.0,14.4626072616,33.0,13.3398034021,31.0,14.8624274268,15.0,5.05423735123,12.0,4.79554735346
NM_018055,NODAL,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001047160,NET1,157.0,35.2388032751,132.0,66.0870897982,224.0,50.0002564745,193.0,96.0954269134,246.0,45.7707686077,210.0,87.1552575965
NM_001313692,SMIM11B,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001305630,C7orf49,5.0,1.62383493339,2.0,9.79979945592,7.0,2.26085458864,2.0,9.74585405034,9.0,2.42295855056,6.0,24.3708144192
NM_002597,PDC,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001349794,BEND5,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001346082,TP53I13,15.0,8.19635877712,10.0,10.7515785398,24.0,13.041983848,13.0,13.9001119819,28.0,12.682922312,24.0,21.3902112169
NM_002594,PCSK2,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_002261,KLRC3,0.0,-,0.0,-,1.0,0.869995751811,0.0,-,0.0,-,0.0,-
NM_002260,KLRC2,4.0,2.95690568909,2.0,2.57667140867,1.0,0.735157168678,0.0,-,4.0,2.45114539089,2.0,2.13594781548
NM_002591,PCK1,2.0,0.667919292527,2.0,0.959530925861,1.0,0.33212128328,1.0,0.47712447598,1.0,0.276837929157,1.0,0.397704569174
NM_001282666,MICAL2,28.0,3.78917691006,12.0,3.6711633581,31.0,4.17206685991,15.0,4.56369317096,24.0,2.69233868924,14.0,3.55043935756
NM_024888,PLPPR3,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_002269,KPNA5,18.0,7.47927233731,14.0,7.74910068089,12.0,4.95873389586,9.0,4.95414247559,20.0,6.88887710646,14.0,6.42366528211
NM_002268,KPNA4,70.0,6.98894505235,29.0,16.6052157448,54.0,5.36179321487,17.0,9.68050828563,111.0,9.18688255388,46.0,21.8341332249
NM_002599,PDE2A,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_002598,PDCD2,103.0,29.4791605402,78.0,67.5760084222,90.0,25.6166958521,69.0,59.4497097071,102.0,24.1996819848,82.0,58.8902481764
NM_024430,PSTPIP2,9.0,2.66869538755,6.0,5.35332328488,6.0,1.76933659842,2.0,1.77461820021,7.0,1.72062462914,2.0,1.47922356177
NM_001136026,SEC13,146.0,81.062242063,111.0,89.9111681789,154.0,85.0333309123,130.0,104.721710866,138.0,63.5150203657,107.0,71.84656988
NM_021197,WFDC1,4.0,2.43332876585,2.0,2.70492202177,1.0,0.604983477345,1.0,1.34501605672,1.0,0.504280759693,1.0,1.12113098007
NM_001136022,NFATC4,31.0,4.8758342671,26.0,8.05309944927,35.0,5.47467068869,24.0,7.39271001539,36.0,4.69376499427,29.0,7.44593621894
NM_080823,SRMS,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001256410,RAB18,68.0,11.9792440501,21.0,26.5964896251,40.0,7.00782432696,13.0,16.3738607244,69.0,10.0763023468,21.0,22.0473257564
NM_001024593,MSS51,0.0,-,0.0,-,5.0,1.84016848041,5.0,3.22395388867,6.0,1.840635179,6.0,3.22477153921
NM_033100,CDHR1,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_005458,GABBR2,0.0,-,0.0,-,0.0,-,0.0,-,3.0,0.385267712398,2.0,0.526050842029
NM_001201539,ARSF,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_032546,TRIM54,1.0,0.435282354474,1.0,0.745371280313,2.0,0.865772471462,2.0,1.48253640167,0.0,-,0.0,-
NM_032545,CFC1,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001024594,C1orf53,5.0,6.56428733687,5.0,10.2360918975,8.0,10.4450441652,7.0,14.251642738,17.0,18.5011233915,14.0,23.7587620023
NM_001347684,UPK3B,0.0,-,0.0,-,1.0,0.362645646851,0.0,-,0.0,-,0.0,-
NM_032548,ABTB1,3.0,1.35382232041,2.0,1.77385094009,4.0,1.79515983011,1.0,0.882043170728,9.0,3.36677833824,4.0,2.94088957384
NM_007275,TUSC2,27.0,14.3767247956,7.0,18.8491638184,21.0,11.1203435616,6.0,16.06748911,46.0,20.3041880227,12.0,26.7859401725
NM_033631,LUZP1,72.0,7.60705535709,41.0,11.3785043822,57.0,5.98910119,24.0,6.62392308714,88.0,7.70723057632,50.0,11.502783036
NM_001346228,WDR48,67.0,14.2263013414,31.0,15.2396552394,55.0,11.6140209586,30.0,14.6668691712,70.0,12.3210250497,35.0,14.2630725836
NM_033141,MAP3K9,59.0,4.71895614689,28.0,7.47902478584,66.0,5.24977366961,32.0,8.50040532005,79.0,5.2378447367,49.0,10.8496223264
NM_033142,CGB7,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001130007,GSPT1,87.0,10.8741711136,39.0,23.3137229056,77.0,9.57128724723,51.0,30.3193519506,75.0,7.77087231447,52.0,25.7680744459
NM_014209,ETV2,2.0,1.199574114,2.0,1.74282147758,0.0,-,0.0,-,3.0,1.49159165175,3.0,2.16708408101
NM_033105,DNAJC5B,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001322966,OAT,123.0,45.8212891469,91.0,61.8166895225,76.0,28.1564890179,53.0,35.8049388008,115.0,35.5133492212,72.0,40.5441730793
NM_001349247,TRAK1,36.0,6.06321175954,21.0,8.80332615921,41.0,6.86731244738,23.0,9.58866285598,51.0,7.12036097467,37.0,12.8576269622
NM_001025231,KPRP,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001329765,HKR1,48.0,13.6075621911,39.0,18.3283985107,72.0,20.298984029,46.0,21.4991088563,59.0,13.8650902774,44.0,17.1413170601
NM_001170574,FAM46D,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001025237,TSPAN4,30.0,18.3997602644,20.0,25.0120404524,62.0,37.8168468041,41.0,50.9924288282,49.0,24.9125732897,36.0,37.3209961399
NM_080678,UBE2F,25.0,10.1618500705,7.0,11.2486945368,40.0,16.1694586692,18.0,28.7659885679,43.0,14.4888137402,19.0,25.3098332544
NM_006727,CDH10,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001191003,GSTO1,70.0,59.3828907429,60.0,83.8020233848,73.0,61.5869745783,58.0,80.5626907245,59.0,41.4903316437,42.0,48.6277465281
NM_006598,SLC12A7,20.0,3.38115252721,15.0,4.13598547148,61.0,10.2557474325,30.0,8.22643584507,72.0,10.0901788206,46.0,10.514222826
NM_152271,LONRF1,18.0,4.55296747642,15.0,5.79251712027,11.0,2.76705277903,6.0,2.30425231423,18.0,3.77421075209,14.0,4.48162694101
NM_080670,SLC35A4,78.0,23.8462900501,26.0,23.9115106725,89.0,27.0594485029,29.0,26.5237166385,65.0,16.4729422387,26.0,19.8215957277
NM_080671,KCNE4,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_080672,PHACTR3,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_080675,SUN5,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_080677,DYNLL2,80.0,47.1317555962,30.0,99.6312944686,111.0,65.0353263221,40.0,132.110466016,147.0,71.7914234223,46.0,126.637972704
NM_001319207,TRAF5,9.0,2.00052921466,4.0,2.10118722957,9.0,1.98951680973,3.0,1.56721554588,22.0,4.05374726706,11.0,4.78992866881
NM_001319204,POMC,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_015319,TNS2,42.0,7.60667123997,38.0,7.99856871086,63.0,11.3471976718,54.0,11.3038180429,90.0,13.5119946639,86.0,15.005785498
NM_001330159,DHRS7B,6.0,2.53777825533,5.0,4.80536790041,11.0,4.62698212343,9.0,8.60204802835,9.0,3.15556064061,7.0,5.57681551823
NM_015315,LARP1,169.0,22.9778921739,90.0,26.3729897123,242.0,32.7221298312,144.0,41.9645009697,233.0,26.2609844838,155.0,37.651315414
NM_001313726,ANO3,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_015317,PUM2,130.0,18.3255171401,98.0,27.503850304,120.0,16.8227444541,99.0,27.631555216,169.0,19.7483670687,137.0,31.8727536935
NM_015316,PPP1R13B,5.0,0.904095231112,5.0,1.3698161476,5.0,0.899118416622,5.0,1.36227565782,11.0,1.64880182248,6.0,1.36262115451
NM_001348239,PCBP3,6.0,2.28745318933,2.0,1.51722783455,11.0,4.17057912486,6.0,4.52662764267,11.0,3.47636404662,8.0,5.03086185981
NM_001145402,FAM71E2,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_018273,TMEM143,5.0,1.75133134808,5.0,3.24884655876,2.0,0.69667628563,1.0,0.646192496816,7.0,2.03248784317,7.0,3.7704122308
NM_015312,KIAA1109,52.0,2.99373648869,52.0,3.10477066262,31.0,1.77490305064,31.0,1.84073212237,71.0,3.38844292937,69.0,3.41512711049
NM_012338,TSPAN12,19.0,6.64467681518,9.0,8.79099657076,15.0,5.21692070362,8.0,7.77120388328,24.0,6.95765840674,10.0,8.09705707829
NM_012339,TSPAN15,26.0,13.6817622686,12.0,12.1583952572,27.0,14.1297725536,11.0,11.0838441827,23.0,10.0329379783,11.0,9.23887936458
NM_001277120,ZNF468,23.0,5.11626840858,3.0,7.00532539232,18.0,3.98199494441,6.0,13.9335257126,40.0,7.37593490238,5.0,9.67851353889
NM_012337,CFAP45,0.0,-,0.0,-,0.0,-,0.0,-,3.0,1.24230056789,3.0,1.34657579672
NM_012334,MYO10,92.0,7.21738511111,82.0,11.9034960851,82.0,6.39747532281,73.0,10.538680934,187.0,12.1608871426,155.0,18.6519386704
