AccNum	GeneName	cdRPKM0	cdRPKM1	cdRPKM2	cdRPKM3	cdRPKM4
NM_003223	TFAP4	5.6344443821856	5.769128316225617	5.376382818695148	4.7336643373345	4.815145591014104
NM_017931	TTC38	4.0704196107901485	4.146588759459588	4.207934468226039	3.436318253685347	3.0583678887257135
NM_130809	PRRC1	6.0151425905842535	5.720753555011212	5.046512317564754	4.60709253336663	4.609718366338742
NM_130807	MOB3A	5.250542915645829	5.636011548607382	5.795434926708164	5.560952687798014	4.3366255119565125
NM_130803	MEN1	4.627682596766866	4.549222931092403	5.0116754940607615	4.273117568093907	3.99002638948554
NM_004257	TGFBRAP1	3.782029630684394	4.483596144474403	4.69957880417128	3.732890774286439	3.4138340983848523
NM_004922	SEC24C	5.610550990099892	5.397971252842866	4.943342140942135	4.705055658704887	4.586362530389155
NM_004255	COX5A	8.159911164372657	8.194486567058474	7.386615056823379	6.435177804698992	6.311189940081177
NM_001135187	AGFG1	4.947288820826954	5.4652440685432095	5.142385229850532	4.603625272475174	4.266153976874055
NM_006076	AGFG2	5.091762718980018	5.405050803803238	4.9600579733618995	4.366779000082617	3.854885513227131
NM_006079	CITED2	7.587699573878431	6.911296691150111	6.980276067102895	6.348683368290113	6.4073246456150645
NM_025108	TEDC2	4.094237436849349	4.1572178137653815	4.085860985041499	3.792292067302617	3.0802241984549172
NM_020461	TUBGCP6	1.3353939923204465	1.3520807169606395	1.991694273869532	1.233134212149068	1.5314268549075059
NM_016510	SCLY	4.5717674164067335	4.340148072362888	3.913948526280428	3.8597451084816905	3.237619364944287
NM_016516	VPS54	1.3527323686746515	2.335575638345886	2.6609554921537564	2.3791445452923625	2.555783032015256
NM_006412	AGPAT2	4.9629929035757225	5.145144981469564	5.2909754149456	4.899207271220617	3.8982263647099513
NM_014706	SART3	5.1023319606936015	4.927125598566869	4.834527091279305	4.4323673417105045	4.456623726700382
NM_004440	EPHA7	4.390253658473651	4.163881544052727	3.9705341909437917	3.3320062096661682	3.585253811609398
NM_002178	IGFBP6	8.574155486060404	8.568122134202993	7.861877579427632	7.1154399278767455	7.104144540414789
NM_014255	CNPY2	6.705270123847871	6.753566455013919	6.443220694419604	5.5471571089545915	5.667112510449944
NM_013355	PKN3	4.119527688110778	3.886642266724032	4.242395769577766	3.7561817738928562	3.676382120542598
NM_001287525	IFT22	6.608436507821911	6.723474389856356	6.557275189515264	6.039415567218246	5.78141035462868
NM_130459	TOR2A	3.591469539909508	3.7780812659931007	4.299300122103617	3.4496813955623047	2.7535550705767147
NM_002768	CHMP1A	7.690314471425367	7.762691691261487	7.73993357085895	6.999536086926909	6.875075440050535
NM_001440	EXTL3	3.8354648165287744	4.108902904996689	4.569606675831575	3.735833985229541	3.775895311533287
NM_007322	RANBP3	6.3723041526155235	6.254448753878136	6.147698018616629	5.347512651877435	5.5795535821363185
NM_002314	LIMK1	5.577339211076145	5.365515405220628	5.143150788392885	4.732722099183429	4.501925428012256
NM_002317	LOX	6.712330422403731	6.551259917016261	6.73783962647939	5.825524549032609	5.619843125987343
NM_002318	LOXL2	7.264580550173739	6.971768237229661	6.927834103974047	6.255351081447252	5.966188955207558
NM_024503	HIVEP3	0.4211343816510466	1.6492227437150313	2.6650178640814777	1.9423112500224036	1.701864408815791
NM_001265582	URM1	7.3322267132359205	6.918769046208744	6.654767139549797	5.175331676495103	5.394316453928061
NM_001126129	GINS3	5.7331061495231905	5.68430379257663	5.379907298312319	4.660758503664205	4.5495946794030315
NM_001265589	RTN3	4.22649276998246	4.2777033699595854	3.8347876786176505	3.2330964655215118	3.051543313370646
NM_032430	BRSK1	1.1861788138148286	0.9913614332653756	2.078433967143647	1.9483637816876154	1.788836935865443
NM_004722	AP4M1	5.2738625507257755	5.470732182175327	5.705361904469224	5.082137529819558	4.337155038496221
NM_033212	CCDC102A	3.68574982330851	3.7763346616121085	3.4577107429157907	3.032897291898736	3.1509044216061826
NM_001042549	NSL1	6.1064595651231794	5.9321895619752825	6.026510763591952	5.11193659520693	4.5857352716703215
NM_001025300	RAB12	5.545335893743076	5.388123466886425	4.80385907456989	4.004228483857132	3.99824689628958
NM_001329863	TRUB2	6.076765527110752	5.729735221822351	6.001583147614236	5.268441080888831	5.330813511620445
NM_080748	ROMO1	10.166381694637492	10.349054319193094	9.970794632986854	8.994999859991582	8.742239757348123
NM_021908	ST7	2.0443604544270966	2.687486315765746	2.3047320596433694	1.243609227907045	1.910052982310405
NM_015255	UBR2	3.4907875227028113	3.2366163366759615	3.360012248851813	3.029522762459343	2.9512235721048863
NM_018129	PNPO	6.175320658268575	6.0472337270526	5.949148799229979	4.8643746994294785	4.708816755808314
NM_018128	TSR1	5.001309835123961	4.856885314551552	4.879065418756375	4.046048659547393	4.293267117715045
NM_001145358	SIN3A	4.9712734613725456	5.290120011139175	4.8847790699514855	4.085148479241517	4.2121923103015915
NM_018127	ELAC2	5.738515277028264	5.649931269653651	5.325593699756834	4.637393493401479	4.7588411544029094
NM_018126	TMEM33	5.672651151743866	6.000196645556807	6.06314090854236	4.986670112473231	5.170513083783753
NM_018121	SLF2	3.2330421030908285	3.1678085829932323	3.6372564686683915	3.3000430782737142	3.8357002251377077
NM_001286050	FAM168A	6.423494770807899	6.252660049590807	5.923598318841106	5.574977125357075	4.779606609814568
NM_032300	TCHP	4.163746574253202	3.3343846641346713	3.7210174798698183	2.977970417521804	3.0594516712029636
NM_014828	TOX4	5.7132340408801525	5.615278199582827	5.035410930573617	4.595000624504192	4.422298389939312
NM_001353693	TIAM1	2.368027434667362	3.047679172032315	3.2363226890501706	2.8461355811442766	2.970685556719039
NM_014825	URB1	3.296221759784109	3.1053053145726257	3.2212270540392693	2.8432078145034385	2.643118710912391
NM_001242359	RHOBTB1	2.501921711486864	2.8522658235992435	2.8044958151895343	2.3152793313475666	1.7377975028648964
NM_014820	TOMM70	4.761408394841585	4.289057038756615	4.462184219493554	4.012496099835544	3.8138694343241664
NM_001030006	AP2B1	6.104520492008132	5.86693011469247	5.458122487405216	5.0246750087570415	4.964879575590292
NM_001030007	AP1G1	4.578866680821603	4.621088497571437	4.616845864706048	4.1406855336907356	4.2892809832302365
NM_005336	HDLBP	7.2497645530471075	7.128142521077691	7.079309095818678	6.758246348572709	6.776425020342372
NM_005334	HCFC1	5.790885114327886	6.264423068722842	6.444069584816214	5.741464985144434	5.472793543362165
NM_152783	D2HGDH	3.08568043019429	3.269374672896326	3.141434315805156	1.995422586479795	1.994441679970815
NM_015258	FKBP15	3.807481735354952	3.5729942093713856	3.555576187759304	3.328658603728611	3.0220694057245785
NM_032294	CAMKK1	3.231876187907403	2.6582414959906915	2.7575034388753212	1.8704100069136185	2.199818774040443
NM_005338	HIP1	4.602654831816322	4.537252155035317	4.590322175401826	4.052981373714394	3.8460314444935304
NM_005339	UBE2K	7.28108786424592	7.4575419139169785	7.082492561752311	6.246746009787726	6.141814139238433
NM_015191	SIK2	3.2172681710156987	3.369772042786164	3.09052236241247	2.669403394954675	2.1659221479144195
NM_015190	DNAJC9	7.0457877030725795	7.360097843307699	6.825932490070868	6.15641446315365	5.593479365904045
NM_001243780	FAM213A	6.739402094743555	6.640094149279969	6.137081749823322	5.622623374778732	5.498785720484796
NM_001004333	RNASEK	7.645767022632443	7.565132091597686	7.306572270000819	6.800161560332923	6.302093809478229
NM_001198994	NADK	3.515090770390847	3.8951822258907343	3.713246979158131	3.0362676387581224	3.397856811626247
NM_012179	FBXO7	5.752770688825533	5.794992505575542	5.525089997466137	5.002645535374289	4.69863356539561
NM_001270888	SLC25A10	5.963397643384248	6.123988816926958	5.985609511406484	5.208940069138002	4.674762024876218
NM_004739	MTA2	6.153378632775818	6.329919623408515	6.301653321243168	5.495447177536088	5.582445436186992
NM_001348138	CCNI	4.665734327022414	5.176509152375523	4.728659868033924	4.34560894141285	4.127529913228872
NM_001039705	TRO	3.977693952918677	3.764076865241333	3.675182590883235	3.2884510416195476	3.3579596536377343
NM_001012614	CTBP1	6.520671802652576	7.008519438517731	6.9713445453440865	5.981727678584969	5.579009408479749
NM_152879	DGKD	3.8863860146689837	4.530009442849931	4.747513007321435	4.228714802571377	4.324768857341236
NM_001330653	UNC13B	1.5113759486973448	1.9874942919766327	1.6342440301654808	1.5919802256822055	1.0884989786409895
NM_001033	RRM1	6.607940253144318	6.276276677281207	6.327743476999392	5.792082134236724	5.527709453785063
NM_001520	GTF3C1	4.646751434265544	4.633298451559362	4.814013635089007	4.482801639983804	4.338940777908162
NM_001354723	VHL	6.098636085298993	6.273052514412222	5.589891572745563	5.0348504529445925	4.3793661124608025
NM_022340	RBSN	2.5230327915190753	2.787647029604467	2.7810604562692003	2.6631194925311514	2.9032984922316762
NM_016070	MRPS23	7.155677321483998	7.0692606727412555	6.64253755740895	5.875887595760582	5.586274697750507
NM_022344	C17orf75	3.765320706560169	3.3901105088850274	2.9920245990070757	1.8053708851863868	3.002329356289059
NM_022346	NCAPG	5.6966888519671155	5.559440979521775	5.377802095780349	4.830503179497742	4.7979491899329
NM_016076	DESI2	4.151161154195903	3.7968655596382637	4.133166699819582	2.831035768581065	3.1349094435983016
NM_001567	INPPL1	3.692375628274833	4.438329736008637	4.612359447294339	3.7252660153358907	3.364742722127933
NM_001031713	MCUR1	5.299805235548426	5.588803632261092	4.677487216046211	4.06199020342342	3.7284339578205006
NM_001031711	ERGIC1	6.292009613163695	6.4398716049879665	5.623366277299247	5.176322878899577	5.3647193364972505
NM_031314	HNRNPC	6.777490999946924	6.411561703006079	6.035350292751963	4.9132368311260946	4.976570738099221
NM_001321	CSRP2	7.68068110263869	7.6443865355935	7.451371708668221	6.443315298302091	5.810705424070383
NM_016215	EGFL7	4.609234061628963	5.2130543860302705	4.800006207597527	3.8846545155952468	3.421815253050053
NM_016217	HECA	2.9996513741539306	3.2372985646386954	2.8594850497877706	2.720137050744406	2.432384494761852
NM_032997	ZWINT	7.88217062478152	7.899964644777256	7.568574649157463	7.164915060547292	7.133356376332303
NM_016219	MAN1B1	5.5248717911823455	5.567694605665393	5.7637718660980815	5.067528386962963	4.6026147961826425
NM_032999	GTF2I	4.879638499214649	4.64930837121722	4.789961945301664	4.5184193338929255	4.5479727955323925
NM_007040	HNRNPUL1	7.746422254492849	8.119890469714699	8.018005090026021	7.445642542186655	7.337665587002116
NM_001105206	LAMA4	4.880879650260403	4.9660747609921	4.734644287327089	3.974709877833932	4.061996753196748
NM_194313	KIF24	2.0630671014885387	1.7926440641827288	1.8306039297995895	1.643950215978043	1.9754097226706115
NM_001290205	DCP1A	4.544500597933395	4.381021183910153	4.172160831438515	3.833504024175055	3.63814507249328
NM_002841	PTPRG	2.1742248791738708	3.1758047114252212	3.681756810875683	2.8474048409880117	2.4370329983399084
NM_000431	MVK	4.765320706554864	4.471640394378299	5.05091828806137	4.174604694851973	4.00232935629266
NM_001134445	DDAH1	5.882616065413378	5.849325437818026	5.846285552031667	4.337703743326412	4.589109998450248
NM_001282925	ABI2	5.579267596497152	5.953160175866269	5.510166177201372	4.813563317078925	4.615760813282342
NM_198976	NELFCD	6.305531846574878	6.268889068810465	5.991147694948288	5.231915204862854	5.526245107208871
NM_000435	NOTCH3	5.145427893234458	5.096927106236219	5.4606758269702445	5.045116384857194	4.663625662193447
NM_000925	PDHB	5.387268076799628	5.588803632261092	5.502400509485301	4.490833502222605	4.551556195737841
NM_002846	PTPRN	1.6809909931008322	1.4675579343801406	0.9107742784809418	0.72412056466003	0.6986866144326165
NM_194271	RNF34	4.893856710128373	4.777866946003215	4.580625676792448	4.39397196297269	4.4754532166544845
NM_003969	UBE2M	7.268096375821496	7.112197984556172	6.560889458731202	5.9297544677396266	5.820713815372159
NM_003793	CTSF	2.4978486174147454	2.8449250156932195	2.440144453242453	2.17949015797882	1.8203988202751908
NM_194278	ELMSAN1	4.6895768623377805	4.958491237859721	5.080852521740465	4.610639004750949	4.504130541232059
NM_001351695	INTS2	3.1838348733475708	2.711483517267853	2.7921297819851727	2.605476068165154	2.616567993954546
NM_001350626	BRAT1	5.220017209655031	5.46684213429492	5.554630468258736	4.803478356274668	4.150249989733727
NM_006324	CFDP1	4.986051072104613	4.937877869160841	3.9811636063781863	3.531475486718882	3.460953646957732
NM_007069	PLA2G16	7.853863278591959	7.670177563270034	7.158934691276553	6.36265642250561	6.314077135621813
NM_024757	EHMT1	4.328891000675151	4.511043078569205	4.2743004080138505	4.13226968561626	4.06743255080639
NM_053056	CCND1	6.389559888305267	6.415293582265879	5.761341267363008	5.425309929503542	5.029212217838092
NM_007358	MTF2	4.601723369705653	4.572346389403674	4.498163516599411	3.8090094622515336	4.335275558603974
NM_001281297	EDF1	9.713861054252147	9.573798304663452	8.867590099423639	8.129921216806126	8.056600743689328
NM_007359	CASC3	5.328122314906612	5.375814072012084	5.040057295430294	4.583796521848383	4.370270979959104
NM_001172895	CAV1	7.777409376142402	7.8991402394655275	7.819288616572266	6.731413057229468	6.7366587250797565
NM_001286792	SPATA13	2.2840594307786377	3.115714261588491	2.9558207582614564	2.298276310429441	1.868795644833243
NM_001350103	AGAP3	2.0455494655369697	1.7741108033814517	2.2877164753771084	1.1681769574147443	2.4340827822336952
NM_145290	ADGRA3	2.99714325326946	3.3472755625441453	3.6140653392662263	2.788677868277355	2.795197064278127
NM_145296	CADM4	4.957419058751053	4.707460124007799	3.8287483732172762	3.4977047500662644	3.331258490304632
NM_001243279	ACSF3	3.329724206038147	3.4905026331370745	3.6489895003068593	2.7253701923207956	2.3474198273670823
NM_004555	NFATC3	3.3576434167631626	3.1197573143260167	3.187464523337507	2.624247458053796	2.9813631543486023
NM_207309	UAP1L1	4.452066483248775	4.2663677473033115	4.336774827517958	3.747361944196723	3.3724649032139946
NM_001166419	HDAC8	4.4558851809883135	4.545412712515724	4.649142590351668	3.5482187505540823	3.836150881708034
NM_018323	PI4K2B	3.9111904733432734	3.833698734596563	3.6507299152511483	3.1104392468214717	2.665851688835399
NM_020126	SPHK2	3.1266227363193835	3.1956861652875665	3.51759621316351	2.8903699079627763	2.7088167558105205
NM_001166417	SSX2IP	2.591346069071294	2.9471081952141542	3.023542208646988	1.9108890762673787	2.5773328306730496
NM_001166415	EHHADH	1.2075309657877997	1.472145203876538	1.445876264680669	1.558782832718922	1.3407038045379363
NM_020695	REXO1	3.099565956449871	4.199793376636417	4.617918739773873	4.227731631869191	4.147461815557672
NM_005833	RABEPK	4.129044895869751	4.09820325043031	4.111735319288071	3.9250816054654507	3.9768155157589287
NM_005526	HSF1	5.691769099926748	6.050818139870438	5.797563668035632	5.497041989655912	5.188817034017391
NM_005837	POP7	8.9822090058104	8.945129632749131	8.635215563254683	8.02673518449157	7.970259165391658
NM_001317975	NOP16	6.35688876747365	6.29344880787633	5.954665804198499	5.082885427730773	5.398831935048742
NM_030815	PDRG1	6.692402277488158	6.914456053336304	6.36628552774948	5.594669313208304	4.913189764188943
NM_003780	B4GALT2	1.9591198944286752	2.861164053128799	4.081987975894019	3.0652592635163143	2.7137811099222025
NM_006339	HMG20B	6.4456085126573175	6.767773773302415	6.5851553352717715	6.367069113615574	6.11385497633659
NM_006337	MCRS1	5.069815367247707	5.5167596276660475	5.724347723277139	4.844025249294115	4.664978952752923
NM_006335	TIMM17A	7.191364177398366	7.101313534182022	7.113638427806603	6.3219565902134525	6.328799043003447
NM_001330269	ATP5MC2	8.988223465885937	8.778010709935149	8.06523585842717	7.303569304291262	7.3924680295316465
NM_001256732	SSBP2	6.1451411606396675	6.007973996148877	5.236596289477263	4.451305138038285	4.380783298272439
NM_005783	TXNDC9	5.872000440196247	5.878816920812923	5.9139485262804286	5.469798590165506	4.75219253777328
NM_005781	TNK2	2.06613427650038	2.303781466985301	2.826432278583664	2.832423642703945	2.557761086160222
NM_006356	ATP5PD	7.998001259549772	7.788372408959433	7.441674278946468	6.732722099191569	6.617402645434641
NM_000346	SOX9	7.687707367835956	7.757305623517452	7.691362290975859	7.3225745180202635	7.014672861187098
NM_001352579	ACBD5	3.9318063100338603	3.9426639558686687	3.715187925234925	3.4987868680100043	3.9495019313593427
NM_001042724	NECTIN2	6.058985150407229	6.260791748193178	6.223303675369063	5.263077896121968	5.050567931418228
NM_001039707	SDCCAG3	3.830828929156035	4.254921381251336	4.611722973539399	3.2946726224605336	3.810556700285783
NM_001003684	UQCR10	8.343631476513456	8.135260866111713	8.005291877268226	7.415282469216774	6.5425674125113265
NM_001348803	ZBTB20	2.774231260119092	2.5534186710344193	3.5047819188103806	3.426652661764514	3.4440035780243763
NM_015500	C2CD2	1.8414081777600102	2.473754200344915	2.054474068199008	1.2157436577987226	1.3967605850330014
NM_001349852	TOP3B	2.7301906991600435	3.334291403515667	3.8005913607327115	3.280513913187385	2.8474219940400274
